EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
pälvis Raplamaa;kihvt hea;Margus Mikomägi;tänaseni müstika;intervjuusid andma;Mikomägi ilmselt;käänatakse Miko;Markkus Mikomägi;mõelnud ilmselt
Hermaküla Tooming;Teine asi;Mikko Mägiga;sõitsin teatrisse;nooremad noored;Mikko Mägiga;Miko mängiga;ilusamalt Mikko;ajal väga-väga
küsimuse rapla;klikke Võib-olla;Tere Margus;publikule ilmselt;ongi reaalsus;mäega Mikko;vankrid Miko;Mikko mäega;viimasel paaril-kolmel
Jürjens Avandi;Ja majakavahiks;kirjutad armastusega;Ja esietenduse;reaalsus ongi;ilusamalt Mikko;Mikomägi ilmselt;Raplamaa Kultuurkapitali;täna võimalik
Leila Säälik;Margus Mikomägi;mägi Gomäe;Seda teadsin;See asi;Mikko mäega;Markkus Mikomägi;käänatakse Miko;väga-väga suured
Rapla päritolu;mõtlesin õigus;meeldib lugeda;Lähen vikerraadio;usu ;Markkus Mikomägi;Margus Mikomägi;Nii rääkima;võib-olla tahaks
õpetas õpetus;Ei mõtlegi;noorematest Mikk;prügikasti saata;absoluutselt arvasin;käänatakse Miko;Miko mägi;kirjutab Kas;täna võib-olla
teatri mõte;naistejutte linnateatrisse;stuudios Mikko;Hermaküla-Toominga esimesi;võib-olla noorem;Margus Mikomägi;ilusamalt Mikko;Mikomägi ilmselt;ütles Andres
Voldemar Panso;arvan Peale;lihtsam kirjutada;meeldib spordi;ema kodu;Miko mägi;Mikko Mägiga;Mina näiteks;võib-olla kuskile
multifilmis dublaaži;ilusamalt Mikko;magus kirjutus;räägivad Sest;ongi suhteliselt;Mikomägi pälvis;stuudios Mikko;stuudios Mikko;ongi suhteliselt
Võidujooks Me;Et ema;üldjuhul naljaga;tali teatripöörde;Noort noorematest;stuudios Mikko;Kuna Mikko;Aga kirjuta;võib-olla täna
