EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
in Estonia;Minu isa;õppides laulma;ajamast näitejuhina;noorem vend;tutvustati lapsepõlvest;lapsepõlvest Minu;trummi lüüakse
mäeküla mõisas;õpetas katekismus;välismaalt õpetas;otsekohe viiulipoognaga;pass biolov;lapsepõlvest Minu;Aidameheks Hiiumaale;teada alguses
mõisaproua õmbleja;mõtlen pilet;mängisime põhjas;püüdsin musitseerida;kodus kodus;sündisin aidamehe;mäeküla mõisas;Järgmine püksis
Estonias Bergmanni;lapsepõlvest Minu;linna muusikaga;väiksemad ööbidikaalil;meelt head;algkooli isa;ema mõisaprouaga;neli viis
Estonia Seal;Viispaadmisist teadis;suure lauluga;Igaüks ostab;mundremees pass;teadis lastele;tutvustati lapsepõlvest;tööl käisin
opoidi Klarnet;mängis Altermann;algkooliõpetust lapsee;Lauldes linnas;toime terve;käisime külas;sündisin aidamehe;Temaga töötas
pandur in;köster proua;kirjeldamatult vesi;Wilhelmiine süütmann;Prover pakkus;majakeste tutvustati;Ja sündisin;mängija Mina
Julius Rossfelt;Missugune esimene;orkestrist näitelavale;väiksest rahascabil;uhked vaadata;suunduma perekonnas;südamega Estoniast;tundi viis
näete asi;sõitsime mere;poissmehena Andres;suunduma perekonnas;palka koduma;ema mõisaprouaga;süütmann mõisaproua;viis linna
Ja Wilhelm;Vahepeal uued;alguses väikene;mängima Bradze;meelega head;ema Wilhelmiine;Andres Jõgis;Kor neljaklassiline
linna sõitis;algkooli isa;tutvustati lapsepõlvest;Järgmine püksis;ütles eksi;isa poissmehena;isa köstrikooli;teatri algus
mängima Bradze;pinna mängis;vendaga musikaalne;abiellusin mehega;sisele astusin;lapsena Et;käis vene;nimelt lilleris
