EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Dietrich ütles;Joachim Hector;Saksamaa sajandil;Berliinis ehitati;olevast suhteline;seitsmekümnendad saksas;Berliinist varemeis;korruseline esimene
Frauan prüginaised;Berliin eakas;aeg-ajalt Saksas;mees hüvitigi;esmakordselt anna;raadiosaadet Saksamaal;Üks Berliini;10 sajandil
Friedrich Wilhelm;Berliini tuntumaid;mõelda Saksamaa;seitsmekümnendad saksas;number vaheldus;Saksamaa sajandil;Berliinis saagi;lahkusid 1813
Kuurvürst Friedrich;Holskist 1912;Lääne-Berliinis kaheksakümnendatel;klaasakendega kuuekandiline;meenutav hoone;Saksamaal kõlab;Berliini karule;53 aastat
ohendsollernite dünastia;Jagurphjustendam Noh;kohvikud Berliinis;Jeenast kirdesse;tunde olevast;saksas laagrid;maailmas Berliinlane;Ja võimalik
Adolf Hitler;kuulus Bristoli;Saksas laagreid;suurim veinikelder;akna istuma;valgustusajastu Saksamaale;Tülidest Berliinis;12 sajandi
tõusmas Kuudan;Wilhelmi mälestuskirik;1900 seitsmekümnendatel;Berliini uusim;arvates uus;aeg-ajalt Saksas;kõlasid Berliinis;1953 aastal
sotsiaalkindlustuse süsteem;ajalugu Friedrich;kõlab Saksamaalt;Frauan prüginaised;seisev madalam;Lääne-Berliinis kaheksakümnendatel;aastaks Berliini;varem Kõik
ehisviilud jääte;ulatuva villade;sõjajärgses Berliinis;linnunende Berliin;uus partei;kõlasid Berliinis;Berliini esmakordselt;Aastal 1806
kur Schtendamil;Bismarcki seegi;sajandi lõpupoole;kolmveerand hiigelsuure;torn taeva;viiekümnendatel mängis;nägi Berliini;aastal 1734
elusoon Kurferstendam;Wilhelm Karsten;raadiosaadet Saksamaal;Berliini müürist;suhteline vaikus;Ida-Saksa televisioonis;Berliinis esimesena;20 sajandi
jõudis Kirjandus;Berliinist töölisklassi;Berliinis ilmselt;Ida-Berliin sunnitud;uus saksa;ärganud berliinlased;Berliin eakas;Berliini lääne-ja
ärevil sabovski;Lääne-Berliinis kaheksakümnendatel;1871 saksa;lubatud Lääne-Berliini;kindel eesmärk;brandenburgi ajaloolises;sajandi Berliinis;sõjakas mees
Berliin eakas;leevendada usuvõitlust;tuhanded Ida-Saksa;roomakatoliiklaste jättis;kindel käsk;pressikonverentsil Saksa;päev Berliini;teatanud Bismarck
naablid hooned;kloostreid linnunende;kohvikutes ööklubides;Saksamaale voolama;seinal meenutab;Berliini esmakordselt;hirmuga Berliini;Kaheteistkümnendal sajandil
Main How;45 Neil;Berliinis ujumisbassein;riistasid Berliini;hulk uusi;Ida-Saksa elanikud;kaks Berliini;Berliini esmakordselt
Marlene Dietrich;CD säilis;viiekümnendatel mängis;Berliini jälje;näiteks paistab;Berliinis kursustendami;Ida-Berliin Viimane;16 sajandi
