EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,4,3,1,4,5,5,2,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,2,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,2,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,2,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,3,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,3,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,3,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,3,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,3,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,3,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
5,2,4,3,1,4,5,5,2,12,kriska; narva; kivi; keraamika; aivar; arheoloogiline; kaevamine; kiviaeg; päästekaevamine; kultuur
