EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
pealinnad fonoteegi;lillede mikrofon;lauljatele küsimused;käiksid kalurikolhoosis;vale null;kohtumisõhtule eesti;liikme muusikaga;raadiokuulajad kohtumisõhtule;raadiomajja võib-olla
lõõtstrumm sülofon;inimesed meilist;küsimus muusikasaadetele;14 raadiol;null õige;eesti raadio;muusikaline tund;kolhoosi rahvamuusikasoove;õnnist lihtsalt
külalisstuudio rane;toimus esimene;orkestrile väikese;öelda raadioinimesed;arvates arvan;raadiokuulajad kohtumisõhtule;puhkpilliorkestrimarsiga palume;kalurikolhoosis kohtumisõhtut;ammu teada
oboed trumboonid;komplekt lõõtstrumm;küsime kuulajatelt;soliidsem nägi;ima sumak;õhtu kohtumiseni;küsimus muusikasaadetele;kalorilauludele rahvalaule;1955 aastal
juht gauces;kolhoosi naisansambli;kolhoosi rahvamuusikasoove;samalaadses saates;kalurit defineeriksin;soome puhkpilliorkester;orkestrile väikese;laulma kolhoosi;võib-olla täna
priono transport;famiilitonali nimi;raadio kuulamisest;haapsalu kalurimuusika;suurema arvu;orkestripille kalurikolhoosile;saul solist;kalurimuusika armastajate;dts-i keskmine
helilint ütlen;esineb varietee;raadio muusikasaadete;ütlen kopsimine;kingib punkti;kohtumiseni õhtu;esineda muusikalise;orkestripille kalurikolhoosile;1945 aastal
väikene mälumäng-viktoriin;kolhoosi rahvamuusikasoove;lavale heli;püügiriista kakuami;defineeriksin peedeeess;eetris kõlama;võistkond muusikasaadete;juttu raadios;lõppenud õhtu
sumak vladimir;kirglik kalamees;head kuulajad;mõte kodumuusika;otsustada ;toreda õhtu;maade muusika;külalised raadiomajja;võib-olla segaduste
tänavellimistest hitelgi;solist tead;raadiost muusikalist;jätkame raadio;punkti ettepaneku;puhkpilliorkestrimarsiga palume;muusika inimesed;kolhoosi naisansambli;õnnega avalik
saaremaa igor;traallaeva dts-i;mikrofon küsimus;esineda muusikalise;veerand uskus;saul solist;muusikasaadetele püügiriista;muusikasaadetele püügiriista;14 raadiol
ütlen kopsimine;arva värveerimine;õhtust võõrustajad;estraadikontsertidega rajooni;joon ornament;puhkpilliorkester peeter;sarja muusikalises;paluks raadio;aastal 1955
õiges kõrguses;haripunktil heli;kalurimuusika armastajate;põldsani üldse;nurme meesansambli;muusikasaadete toimetuse;kolhoosi rahvamuusikasoove;haapsalu kalurimuusika;orkester mängib
jorma panula;atsconi ongi;helilaid orkestri;väikene mälumäng-viktoriin;transport mehel;alustaski estraadiorkester;öelda muusika;muusikasaadete täiskomplekt;tund üldse
läätse artur;sobitama tonaalsuse;palume kuulata;mälumäng-viktoriin kahe;punkti võistlus;võra puhkpilliorkester;muusikale kaste;lauljatele küsimused;võib-olla meenutad
