EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,11,11,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,11,12,12,11,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,11,12,12,10,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
11,11,12,12,11,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,11,12,12,11,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,12,12,12,12,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,12,12,11,12,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,12,12,12,12,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,12,11,11,12,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,12,12,12,12,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
12,12,12,12,12,12,12,12,12,20,kristuse; johannes; patriarh; peetruse; konstantinoopoli; kolmas; gregorius; sostumus; basiilika; jumala; neitsi; efesose
