EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,5,2,4,3,5,5,7,0,15,berliin; tööstusrevolutsioon; saksamaa; wilhelm; friedrich; otto; bismarck; berliini; kurferstendam; maailmasõda; von
10,5,2,5,3,5,5,8,0,15,berliin; tööstusrevolutsioon; saksamaa; wilhelm; friedrich; otto; bismarck; berliini; kurferstendam; maailmasõda; von
10,5,3,5,3,7,6,8,0,15,tööstusrevolutsioon; wilhelm; otto; friedrich; bismarck; berliini; maailmasõda; berliin; saksamaa; kurferstendam; von
10,6,3,6,3,8,6,6,0,15,tööstusrevolutsioon; wilhelm; otto; friedrich; bismarck; berliini; maailmasõda; berliin; saksamaa; kurferstendam; von
10,6,8,6,3,9,6,6,0,15,tööstusrevolutsioon; wilhelm; otto; friedrich; bismarck; berliini; maailmasõda; berliin; saksamaa; kurferstendam; von
7,7,6,5,5,9,7,6,0,15,tööstusrevolutsioon; wilhelm; otto; friedrich; bismarck; berliini; maailmasõda; berliin; saksamaa; kurferstendam; von
5,6,7,8,4,7,8,6,0,15,berliin; tööstusrevolutsioon; wilhelm; saksamaa; friedrich; otto; bismarck; berliini; kurferstendam; maailmasõda; von
2,5,6,7,7,4,7,4,0,15,berliin; tööstusrevolutsioon; wilhelm; saksamaa; friedrich; otto; bismarck; berliini; kurferstendam; maailmasõda; von
3,5,6,7,7,4,6,6,0,15,berliin; tööstusrevolutsioon; saksamaa; wilhelm; friedrich; otto; bismarck; berliini; kurferstendam; maailmasõda; von
2,3,6,7,7,3,5,7,0,15,berliin; tööstusrevolutsioon; wilhelm; saksamaa; otto; friedrich; bismarck; berliini; kurferstendam; maailmasõda; von
2,5,5,8,7,2,5,6,0,15,berliin; tööstusrevolutsioon; wilhelm; saksamaa; otto; friedrich; bismarck; berliini; kurferstendam; maailmasõda; von
