word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
hästi;32;no;1;9349;932062911;3420.1565225441
tegelikult;29;no;1;9349;932062911;3099.6104980800505
lihtsalt;25;no;1;9349;932062911;2672.215798794651
näiteks;22;no;1;9349;932062911;2351.6697743306017
ongi;18;no;1;9349;932062911;1924.2750750452024
arvan;18;no;1;9349;932062911;1924.2750750452024
jälle;17;no;3;9349;932062911;1813.5391186755328
üldse;13;no;2;9349;932062911;1388.5435445363853
kontseptualism;12;no;49;9349;932062911;1220.4013384566863
mõiste;10;no;3;9349;932062911;1067.1981604925522
küsimus;9;no;1;9349;932062911;962.6370016530536
Eesti;9;no;1;9349;932062911;962.6370016530536
objekti;9;no;1;9349;932062911;962.6370016530536
sisu;9;no;2;9349;932062911;961.606410468759
natukene;8;no;1;9349;932062911;855.7883268317037
tea;8;no;1;9349;932062911;855.7883268317037
kasutada;8;no;1;9349;932062911;855.7883268317037
oluline;8;no;1;9349;932062911;855.7883268317037
no;8;no;1;9349;932062911;855.7883268317037
hea;8;no;2;9349;932062911;854.8721269518524
natuke;8;no;4;9349;932062911;853.0455998735846
alguses;7;no;1;9349;932062911;748.9396520103538
toimub;7;no;1;9349;932062911;748.9396520103538
aeg;7;no;1;9349;932062911;748.9396520103538
probleem;7;no;1;9349;932062911;748.9396520103538
aasta;7;no;2;9349;932062911;748.1378434349458
hobusepea;8;no;242;9349;932062911;680.1205795294975
rääkida;6;no;1;9349;932062911;642.090977189004
redimeid;6;no;1;9349;932062911;642.090977189004
täpselt;6;no;1;9349;932062911;642.090977189004
kunstnik;6;no;1;9349;932062911;642.090977189004
Indrek;6;no;1;9349;932062911;642.090977189004
uus;6;no;1;9349;932062911;642.090977189004
redimeidi;6;no;1;9349;932062911;642.090977189004
töö;6;no;1;9349;932062911;642.090977189004
aru;6;no;1;9349;932062911;642.090977189004
hetkel;6;no;1;9349;932062911;642.090977189004
installatsiooni;6;no;2;9349;932062911;641.4035599180392
vaja;6;no;5;9349;932062911;639.3501111504419
Eestis;5;no;1;9349;932062911;535.2423023676541
ilus;5;no;1;9349;932062911;535.2423023676541
meeldib;5;no;1;9349;932062911;535.2423023676541
ajal;5;no;1;9349;932062911;535.2423023676541
äkki;5;no;2;9349;932062911;534.6692764011326
Tartus;4;no;1;9349;932062911;428.3936275463042
täitsa;4;no;1;9349;932062911;428.3936275463042
ajalugu;4;no;1;9349;932062911;428.3936275463042
jällegi;4;no;1;9349;932062911;428.3936275463042
redimedi;4;no;1;9349;932062911;428.3936275463042
kirjutada;4;no;1;9349;932062911;428.3936275463042
osa;4;no;1;9349;932062911;428.3936275463042
redi;4;no;15;9349;932062911;422.0608795144807
kunstiministeerium;4;no;48;9349;932062911;407.8495377040183
banaalse;4;no;102;9349;932062911;386.5511478268312
ruumi;3;no;1;9349;932062911;321.5449527249544
kaasa;3;no;1;9349;932062911;321.5449527249544
erinevaid;3;no;1;9349;932062911;321.5449527249544
kriitika;3;no;1;9349;932062911;321.5449527249544
pilt;3;no;1;9349;932062911;321.5449527249544
kasutamine;3;no;1;9349;932062911;321.5449527249544
Tallinnas;3;no;1;9349;932062911;321.5449527249544
Tredimeid;3;no;1;9349;932062911;321.5449527249544
tunduvad;3;no;1;9349;932062911;321.5449527249544
kujunenud;3;no;1;9349;932062911;321.5449527249544
hiljem;3;no;1;9349;932062911;321.5449527249544
aega;3;no;1;9349;932062911;321.5449527249544
uued;3;no;1;9349;932062911;321.5449527249544
Maria;3;no;1;9349;932062911;321.5449527249544
Peeter;3;no;1;9349;932062911;321.5449527249544
