EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,6,6,6,6,6,6,6,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
