EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,6,6,3,6,6,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,7,7,6,3,6,6,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,7,7,6,3,6,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,7,7,6,3,6,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,7,7,6,3,6,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,7,7,6,6,7,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,7,7,7,7,7,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,7,7,7,7,7,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,7,7,7,7,7,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,7,7,7,7,7,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,7,7,7,7,7,7,7,0,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
