EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,6,4,6,7,7,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
6,5,5,6,4,6,7,7,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
7,5,6,6,4,7,7,7,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
7,5,6,6,4,7,7,7,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
7,7,6,7,4,6,7,7,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
7,7,6,7,4,7,7,7,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
4,7,6,6,3,6,7,7,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
6,7,6,7,5,7,7,7,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
6,7,6,7,5,7,7,7,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
6,7,6,7,5,6,7,7,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
6,7,5,7,5,6,7,7,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
