EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,7,5,5,5,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
6,5,4,7,4,5,5,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,5,6,7,4,5,6,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,5,6,7,4,5,6,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,5,6,7,4,6,6,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,5,6,6,5,7,6,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,5,7,7,6,7,7,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,4,7,6,6,6,7,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,4,7,6,6,6,6,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
6,5,7,7,6,5,6,6,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,6,6,7,7,7,7,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
