EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
2,5,5,2,0,5,4,4,1,16,kaevamine; aivar; materjal; muistis; kultuur; arheoloogiline; keraamika
