EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,0,0,0,3,2,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,3,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,2,3,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,0,0,3,1,2,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
3,1,0,1,0,3,1,3,0,12,tervisehäda; uskumus; kaitsemaagia; sümptom; üleloomulik; ehmatamine; meditsiin
