EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
1,4,3,0,0,5,5,5,1,12,kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
