EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Fashion Week;ERKI moeshow;keskendusime kehale;aitab loometööle;elav second;Faimons tantsuks;Tartu moepildist;Tõepoolest korraldajad
second hand;mõnus naisefiguur;kehale liikunud;meenub Katriniga;alternatiivse second;tants järelpüüdu;Tartu etenduse;keskendunud nii-öelda
õppeülesannete kõrgemas;arvangi teostuslik;kehakeel tegelikult;sekrennistkümnentsevad poest;ongi valida;Tartu etenduse;Tartu stuudio;võib-olla anda
Kelvanik Elephants;Millised iga-aastased;teemaks kehakeel;Strutiikides kõiksugupildis;fotod head;tants muusikalised;tantsu sein;hästi-hästi töötanud
Tallinn Fashion;aksessuaari disainereid;keha erinevad;Asterlif kollektsiooni;head Et;tants ongi;moeshow Tallinnas;lõpetama jääb
performans tantsu;otsekontaktide disainerid;tants tänavu;moepildist rääkisime;black box;oskavad tantsida;motterfomest tantsukoha;ümbritsevad igapäevaselt
black box;moeshow muusika;tants liikuda;raskem Publiku;näiteks koosta;tants kujunenud;Klassikaraadio kuulajad;põhiliselt tavaliselt
Volo diembrimix;transKressinkorporiality Aga;tänases muusika;edastada selgeks;sobivat Modellid;performans tantsu;Tallinn Fashion;2007 võib-olla
striinu pungitseeaa;Millised disainerite;kehal keeled;skulptuur lähedki;asi anname;tants tänavu;Kui Tartu;kunstiakadeemiast hästi-hästi
mood performans;Disainerid Venemaa;moeshow muusika;disain külgnevaid;nullist ehitama;tants koheldajad;Tartu kultuurielu;asjad igapäevaselt
kutsumine näed;moeshow Tallinnas;Tartu kultuurielu;püsivamaid moeetendusi;intensiivselt Et;tantsukoha ongi;stuudios tänavuselt;Aga räägimegi
Magnus lõppe;erinevad väljundid;stuudios tänavuselt;lased arvestama;näiteks koostise;Klassikaraadio kuulajad;liigume Tartu;võib-olla tagantjärgi
ägedad lihtsalt;üldisemalt Kuidas;muusikalised etteasted;koni Krojektsiooniga;esimesed valida;tantsu külalisesinejaid;tantsukorraldajad Kristina;lihtsalt võib-olla
