EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
tõuget Estonia;ammuaegne solist;eriti Estonias;Oli peategelasi;Need terminid;tänasele kõnekoosolekul;Estonia põhikirja;Vanaaegne Vana-Euroopa
Külalus Estonia;Minu isa;traditsiooniliselt eesti;Ja kunstiinimestel;ettepanek number;kõnekoosolek annan;Estonia tegevust;Vana-Euroopa Estonia
Estonia suomen;Eestile seksi;mõtlen Estonia;Kultuurist vupatama;asja Need;koosolekule tänaseks;rääkis Estonia;tõepoolest võib-olla
suomen Estonia;linnainimesi ülestalgutele;muusikalisi ettekandeid;Eestist taksime;null null;mõtlen koosolek;Estonia koor;eesti kultuuri
Schlaag Baum;Jaak Schlaag;preester Nikolai;Kultuurimeeleka äigile;esimesi punkte;ettekanne koosolekule;Estonias seltsiga;Ma mõtlen
Estonia Seura;kultuurikontakte Eesti-Soome;traditsioonid tähendab;inglise anekdoodis;noorematele funktsioon;härrad kõnekoosolek;tahaksin Estonia;Tallinn võib-olla
Vana-Euroopa Estonia;MacDonald distugee;vanade liikmete;prosentisest Eestile;funktsioon vaadata;kõnekoosolekul omapoolse;Estonia tuua;juhataja tähendab
sõna Estonia;sõna ettevaatlikkus;kirikusse tseremooniaid;Sest naiste;kena programm;Suur kohtumishomme;vaatame Estonia;27 päeval
side Joyce;von Kotzebue;Helsingis Estoonlased;teame üldse;16 null;toimub koosolek;Estonia seltsile;hoone probleem
sõna Castrol;Hepner Lõuna-Saksamaa;tähendab muusikateatri-muusika-;tänane üritusi;punkt vaja;ettevalmistatud kõne;tervitada Eesti;mõtlema aeg
Estonia põhikirja;külalisetendus Siin;viibib Tallinnas;asja üldse;See fakt;tänase koosoleku;eestlastest Enne;põhikirja 36
Kirjati Londosta;teatri Millised;demonstratsioonidega üritustega;Soomest südamliku;asju Need;koosolekute miitingut;Estonia Jõudsin;1724 aastal
meedan molembeeennseuroy;Euroopas kunston;Estonia teatris;kultuuriseltse lähedasi;alal Need;termin kõnekoosolek;Estonia liikmeks;asja üldse
ehke Suomessa;saadikud Ei;õnnitleb proua;meeldis leidis;näiteks võimalus;ettekanne pani;härrad kõnekoosolek;Kanadas nii-öelda
