keyphrase;score
kogemine sõna maailm;0.7796
sõna maailm valitsemine;0.7729
võimalus suur arvuti;0.7703
mõtlemisaine pärinema son;0.7633
vaatson tagasihoidlik kompanii;0.7603
arvuti ülemaailmne kliendisuhe;0.7546
Jonathan Schwartz blogi;0.752
oluline isiklik arvuti;0.7516
maailm kogemine sõna;0.7487
uskuma Thomas Watson;0.7437
sobima suurem süsteem;0.7418
direktor Jonathan Schwartz;0.7415
maailm valitsemine tunnetus;0.7415
IT-infrastruktuur arendama maailm;0.7399
arvama maikrosof laev;0.7395
viimane maailm arvuti;0.7389
suur arvuti võimalus;0.7388
õigus täna probleem;0.737
ühendama maailm viis;0.7344
algama vihje ajalugu;0.7342
papadopolous aasta november;0.7322
kuu maailm kogemine;0.7321
projekt pealkiri mõtlema;0.7314
osutumine pilkamine töövahend;0.731
ropadopolous arvama maikrosof;0.7303
vähekene seksikam arvuti;0.7292
operatsioon vastutav ohvitser;0.7283
ülemaailmne kliendisuhe haldamine;0.728
alustama sarnane noodikomandör;0.7275
sajand surnud väärtõlgendus;0.7272
Kellitage direktor Jonathan;0.7266
pilkamine töövahend kuulsus;0.7255
papadopopous arvuti defineerimine;0.7255
Watson ütlema õigus;0.7254
võimalus sobima suurem;0.7252
julgus käivitama projekt;0.7232
Thomas Watson ütlema;0.7231
nõndanimetatud arvuti ropadopolous;0.7228
väljaütlemine viima arvuti;0.7223
käivitama projekt pealkiri;0.7214
kreek papadopulaus meelitama;0.7214
Toomas vaatson tagasihoidlik;0.7212
globaalne maandamine mõjutav;0.7209
kontroll tarkvara globaalne;0.7205
nägema IP-nimeline arvuti;0.7203
tõmbama papadopolous aasta;0.7196
vihje ajalugu jamse;0.7184
kreek papadopopous arvuti;0.7182
ühtne kontroll tarkvara;0.7174
suurem maailm võtma;0.7168
papadopulaus meelitama inimene;0.7166
maandamine mõjutav süsteem;0.7165
papa toopaluu ütlema;0.715
arvuti istuma Goog;0.7149
soovitama kreek papa;0.7148
IBM maailmamaine ettevõte;0.7138
arvuti tekkiv raudvara;0.7133
kommentaar algama vihje;0.7127
ettevõte mõtlema IT-infrastruktuur;0.7121
maailmavajadus teenindav projekt;0.7115
ont maand internet;0.7113
boss peamine operatsioon;0.7102
vale osutumine pilkamine;0.708
kasvukiirus riiklik teenus;0.7058
kreek papa toopalavus;0.7058
ostma varem hiljem;0.7052
muldoon julgus käivitama;0.7037
toopaluu ütlema väike;0.7028
noodikomandör värske blogi;0.7013
globaalne väärtus omav;0.7009
nägema põhjus viis;0.7005
arvuti ropadopolous arvama;0.7005
lausuma kreek papadopopous;0.6998
Schwartz blogi pealkiri;0.6992
Huud mõte Kamazon;0.6986
võtma väike saareriik;0.6977
suurus heitma sõnum;0.6971
meresuurune suhteline lausuma;0.696
suur ettevõtmine normaalne;0.6958
Woods sajand surnud;0.6955
haldamine keskkonnateenus pakkuv;0.6953
papa toopalavus definitsioon;0.695
mõtlemine suurus heitma;0.6942
arvuti nimelt selguma;0.694
morjendama ausalt ütlema;0.6939
raudvara arengutempo aeglus;0.6928
pealkiri võrk arvuti;0.6927
ajalugu jamse vale;0.6925
võrdlema globaalne väärtus;0.6924
eeter portaal tehnoloogia;0.691
töövahend kuulsus kogunud;0.6903
pealkiri mõtlema suurelt;0.6903
tänane olukord meenutama;0.6902
kuus tõeline arvuti;0.6899
Toomas Watson ütlema;0.6895
blogi nädal algus;0.6893
Kreek papadopopous uskuma;0.688
miljon server võrgustik;0.6879
kunagiselt peadirektor Toomas;0.6875
keskkonnateenus pakkuv selts;0.6875
tekkiv raudvara arengutempo;0.6853
maailm arvuti ülemaailmne;0.685
look Kreeg kommentaar;0.6849
vastutav asepresident kreek;0.6845
tarkvara globaalne maandamine;0.6845
energeetika transport telekommunikatsiooniteenus;0.6837
mõtlema IT-infrastruktuur arendama;0.6837
Goog arvuti ühendus;0.6819
võib-olla väljaütlemine viima;0.6817
tagasihoidlik kompanii majanduskriis;0.6808
ettevõte kujunenud Toomas;0.6792
kreek papa toopaluu;0.6791
kogunud tsitaat IBM;0.6785
suur maailmavajadus teenindav;0.6784
papatoobo lause look;0.6783
viis kuus tõeline;0.6783
silm Kreek papadopopous;0.678
algus suur boss;0.6777
inimene mõtlemine suurus;0.6772
transport telekommunikatsiooniteenus finantstransaktsioon;0.6771
defineerimine ettekujutamine küsimus;0.6768
Robert muldoon julgustama;0.6764
tulemus vajadus puudutama;0.6763
Watson ütlema nägema;0.6759
positiivne püüdma kreek;0.6756
muldoon julgustama nägema;0.6755
november kirjutatud blogi;0.6752
arvutipark kan hea;0.6747
viis arvuti lihtsam;0.6747
arvuti järjekord viimane;0.6735
startup ettevõte mõtlema;0.6733
mõtlema suurelt soovitama;0.6733
arvutipark jääma vajadus;0.6731
võtma nõndanimetatud arvuti;0.6724
hetk oluline isiklik;0.6724
Folstotkom kreek papa;0.6722
Uus-Meremaa peaminister Robert;0.6721
arengutempo aeglus võrdlema;0.6717
püüdma kreek papadopulaus;0.6713
selts Folstotkom kreek;0.6713
jalg suur Goog;0.6703
seitsmekümnes võtma väike;0.6698
teenindav projekt taktika;0.6691
blogi pealkiri võrk;0.669
