EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
vitsoonuš davidson;smindovitš kirjutama;tervishoiuprobleem tuletama;populaarsem luuletaja;tava argument;kord rääkima;probleem rääkima;rääkima 30;esimene revolutsioonijärgne
jälle lugu;range andma;näiteks moskva;karistus asumine;uus termin;otsus murranguline;kõne komsomoli;küsimus nõukogudevariant;jõudma rääkima
bestel auk-au;korraldaja tervishoid;1937 märgiline;variant katkine;range andma;kirjutama aeg;võib-olla seltsimees;olm rääkima;naerma raamat
sirv mänam;miinusmärk paigutama;inimene viima;arov transport;argument kasutama;võim hiljem;nõukogu aegne;trotski kõne;töötama paremini
lihtsalt list;sanitaarharidus maja;kolmas kongress;yks vana;termin esseninshima;tervishoiuprobleem tuletama;meditsiin kahekümnes;terve ühesõnaga;artikkel sõna-sõnalt
tsiteerima homoseksualism;pereprobleem väljapääsma;märts aeg;igant vale;andmed avalik;paratamatult täna;vaevalt kuulaja;näide nõukogu;teatud aasta
tava esteetika;säilitama esteetika;tolleaegne ajaleht;leebinna banaalsuseltsüklot;enam-vähem kompleks;võib-olla tähtis;mõistlik inimene;kirjutama mõistma;puudutama nõukogu
nägema tolleaegne;levima ristimine;raadiokuulaja ilus;täna püüdma;kongress vast;võtma lugu;professor ivanov;mõttelaad essenintšina;ammendama võib-olla
tekst kommunistiitšovsk;näitus jääma;suur diskussioon;kordama niigi;unustatud termin;ülesanne viima;luuletama nõukogu;raadiokuulaja ilus;ajaleht 20
varem esseenine;arvama komsomolikandidaat;võib-olla seltsimees;meel hitler;olukord andmed;meditsiin kahekümnes;komsomoliorganisatsioon soovitama;ivanov paratamatult;tegelema otsus
