EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,3,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,4,3,3,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,4,3,3,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,4,3,3,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,4,3,3,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,4,3,3,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,4,3,3,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,4,4,3,1,2,2,3,3,11,viirus; kristjan; epideemia; informatsioon; port
2,4,4,4,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
2,2,3,4,1,1,2,4,3,11,viirus; kristjan; epideemia; informatsioon; port
3,2,4,4,1,2,2,4,2,11,viirus; kristjan; epideemia; informatsioon; port
