EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
cation system;tähendab suvekorter;suurele merele;mees Kaadritega;cation system;Eesti merelaevanduse;Meie laevastik;Eestil 12
Tallinn välk;jalga vett;nimed Veeteede;dia Te;seisab root;rannavalvelaevadest tuukrikaater;Istun rannavalvetalituse;Nojah tegelikult
nii-öelda Padar;Meil kiirkaatriga;Eesti merelaevanduse;raiutasid saar;root viima;näiteks laevavindid;Meresaare Eesti;ilmetsin ministeeriumi
ütles laev;laevas Relvi;tähelepanu laeva;laev sõidab;tundi root;kontrollisin Tallinna;Piritalt naissaarele;mehed vahetavad
eriti puksiiri;Tähendab merehariduskeskus;Siin jaa;ant Balti;järjekorra number;ant Balti;Tähendab merehariduskeskus;laeva Niisiis
rajoonist pärit;jalg nimetatakse;See veeteede;Vene väed;laev head;merele kutset;Oi merekeelt;tea üldse
kahtlendada viited;Tuukrikaater ütleb;On meremeestest;Et suurem;nimetatakse tset;merepiire asukoht;kaatrilt Eeva;kiirusega 40
Armastab öelda;sõitsime saadikutega;meresaadet meresaade;osutama treeningu;number Meil;Tähendab merehariduskeskus;patrullkaater Nüüd;Ühendriikide ametivennad
jälle endised;Padar Annabel;turvalises paigas;Aga õhtusel;näiteks ongi;Viilma kartmata;meresaade täna;sõidavad siia-sinna
asjaarmastajad inimesed;Soome turismipaatide;võimalust õlitõrjeoperatsioone;Siin moment;viimane detail;rannavalvetalituse patrullosakonna;patrull-laev viis;käituma nii-öelda
teinekord laupäev-pühapäeval;otstarbeline laev;Ahoi süda;Bellinguid võttega;On diiva;miili territoriaalveed;Tuukrikaater ütleb;aastakümneid nii-öelda
