EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,1,1,0,1,2,2,2,11,sport; rahvatantsupidu; kihnu
3,3,2,1,0,2,2,2,2,11,sport; rahvatantsupidu; kihnu
3,3,2,1,0,2,2,2,2,11,sport; rahvatantsupidu; kihnu
2,3,3,1,1,1,2,2,2,11,sport; rahvatantsupidu; kihnu
2,3,1,1,1,1,2,1,2,11,sport; rahvatantsupidu; kihnu
2,3,2,1,1,1,2,1,2,11,sport; rahvatantsupidu; kihnu
2,3,1,1,1,1,2,3,2,11,sport; rahvatantsupidu; kihnu
2,3,3,2,2,1,3,3,2,11,sport; rahvatantsupidu; kihnu
1,3,3,3,2,2,3,3,2,11,sport; rahvatantsupidu; kihnu
1,2,1,2,2,2,3,3,3,11,sport; rahvatantsupidu; kihnu
2,2,3,2,3,2,3,3,2,11,sport; rahvatantsupidu; kihnu
