EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,5,2,3,4,5,4,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
6,3,5,2,3,4,5,4,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
6,3,5,2,3,4,5,3,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
6,2,4,2,3,4,6,3,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
6,2,4,2,4,4,6,3,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
5,2,3,3,3,4,5,3,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
5,2,4,3,4,5,4,3,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
5,2,3,3,3,5,3,4,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
4,2,4,3,3,5,5,4,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
4,3,4,3,2,5,4,4,0,12,tervisehäda; uskumus; hiiemäe; kaitsemaagia; reet; ehmatamine; meditsiin
2,3,3,3,4,3,4,4,0,12,tervisehäda; uskumus; kaitsemaagia; hiiemäe; reet; ehmatamine; meditsiin
