EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,5,3,4,4,5,3,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,3,3,5,3,4,4,5,3,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,3,3,5,3,4,4,5,3,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,3,3,5,3,4,4,5,3,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,3,3,5,3,4,4,5,3,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,3,3,5,3,4,4,5,3,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,3,4,5,3,4,4,5,3,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,3,4,5,3,4,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,3,4,5,3,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,4,4,4,3,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,4,4,4,2,5,5,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
