EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,4,2,5,4,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,3,4,2,5,4,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,3,4,2,5,4,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,3,4,2,5,4,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,3,4,2,5,4,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,4,3,4,2,5,5,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,5,4,2,4,5,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
3,4,6,5,2,4,5,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
4,3,5,4,2,4,5,4,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
4,2,4,5,2,4,5,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
4,3,4,6,3,4,5,5,4,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
