EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,5,7,6,4,6,8,5,13,admiral; ükssilm; jack; väli; mereröövel; silver; lampjalg; heino; kadri-ann; hobune
7,8,5,7,6,4,6,8,5,13,admiral; ükssilm; jack; väli; mereröövel; silver; lampjalg; heino; kadri-ann; hobune
7,8,5,7,6,4,6,8,5,13,admiral; ükssilm; jack; väli; mereröövel; silver; lampjalg; heino; kadri-ann; hobune
7,8,5,7,6,4,6,8,5,13,admiral; ükssilm; jack; väli; mereröövel; silver; lampjalg; heino; kadri-ann; hobune
7,8,5,7,6,4,6,8,5,13,admiral; ükssilm; jack; väli; mereröövel; silver; lampjalg; heino; kadri-ann; hobune
7,8,5,7,6,4,7,8,5,13,admiral; ükssilm; jack; väli; mereröövel; silver; lampjalg; heino; kadri-ann; hobune
7,8,5,7,6,7,7,8,5,13,admiral; ükssilm; jack; väli; mereröövel; silver; lampjalg; heino; kadri-ann; hobune
7,8,5,7,6,7,9,8,5,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
7,9,5,5,6,7,10,8,5,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
6,9,5,6,6,8,10,8,7,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; jack; silver; lampjalg
7,9,6,5,7,8,10,8,8,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; jack; silver; lampjalg
