EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,4,3,4,2,2,1,5,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
