EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,4,7,6,4,5,7,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; saladus; onn; käsi; kamp
5,7,4,7,6,4,4,7,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; saladus; onn; käsi; kamp
6,8,4,7,6,4,6,7,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; käsi; onn; saladus; kamp
6,8,4,7,6,4,6,7,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; käsi; onn; saladus; kamp
6,8,4,7,6,6,7,7,6,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; käsi; onn; saladus; kamp
8,8,6,7,6,9,7,6,6,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; saladus; käsi; kamp
9,8,8,5,5,8,7,7,6,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; saladus; onn; käsi; kamp
8,8,7,6,6,7,6,6,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; saladus; onn; käsi; kamp
7,8,8,6,6,10,6,7,7,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; käsi; saladus; kamp
6,9,10,6,6,9,5,8,7,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; käsi; saladus; kamp
6,7,8,6,4,9,4,6,6,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; käsi; saladus; kamp
