EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,4,0,3,3,3,2,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
6,5,3,4,0,3,3,3,2,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
6,5,2,4,0,4,3,3,2,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
7,5,3,4,0,4,4,4,2,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
7,5,3,4,1,4,5,5,2,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
5,4,4,6,1,5,5,4,3,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
6,5,3,6,3,5,5,3,3,13,kirik; naine; poliitika; viilm; ordineerimine; konservatiivsus; urmas; luterlik
6,4,4,5,3,4,5,5,5,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
7,4,3,4,5,6,2,6,6,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
6,4,5,5,6,4,3,5,6,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
6,4,7,4,6,2,2,5,5,13,kirik; poliitika; naine; viilm; ordineerimine; konservatiivsus; urmas; luterlik
