EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,12,12,10,10,8,10,11,13,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,12,12,11,10,8,11,11,13,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,12,13,11,10,9,12,12,13,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,12,13,11,11,11,12,13,13,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,12,13,11,10,13,13,13,13,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,12,13,12,9,13,13,13,12,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,12,13,11,8,13,13,13,12,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,13,13,13,8,13,13,13,12,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,13,13,13,8,13,13,13,12,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,13,13,13,9,13,13,13,12,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
13,13,13,13,12,13,13,13,12,13,väärtushinnang; keskus; kreutzwald; lugemine; teema-aasta; seminar; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
