EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,9,7,8,8,8,7,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
9,7,9,7,8,8,8,7,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
9,7,9,7,8,8,8,7,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,9,9,7,8,8,9,7,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,9,9,7,8,9,8,7,8,10,ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
7,9,9,8,8,8,8,8,8,10,ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,9,9,6,8,9,9,9,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,8,9,8,9,9,9,9,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,9,9,9,8,9,9,9,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,8,9,9,8,9,9,9,8,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,8,9,9,8,9,8,8,9,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
