EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,7,4,9,8,7,8,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,9,7,7,4,9,8,7,7,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,9,8,7,4,9,8,8,7,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,9,9,7,4,9,8,8,7,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,9,9,7,4,9,9,9,8,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,9,9,7,5,8,8,9,8,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
9,9,9,8,5,9,9,9,8,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,9,9,9,8,8,8,9,8,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
7,9,9,9,7,8,9,9,8,12,uskumus; reet; sümptom; üleloomulik; ehmatamine; tervisehäda; kaitsemaagia; häire; meditsiin
7,8,8,8,9,8,8,9,8,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
7,8,8,8,9,8,8,9,8,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
