EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,9,3,8,9,8,4,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
10,10,9,9,3,9,9,8,4,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,10,8,9,3,9,9,8,4,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,10,9,9,4,8,9,9,4,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,10,9,10,4,8,9,10,6,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,10,9,10,5,8,10,10,6,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,10,11,11,5,10,10,11,7,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
10,10,10,10,5,8,10,11,7,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
9,9,10,7,7,9,10,11,7,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; keeleteadlane; esivanem; väliseestlane; saar
9,10,10,6,8,9,10,10,7,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; keeleteadlane; esivanem; väliseestlane; saar
9,10,10,6,10,8,9,10,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; keeleteadlane; esivanem; väliseestlane; saar
