EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,8,4,1,2,6,6,3,13,väärtushinnang; keskus; rahvapärimus; kreutzwald; rahvajutt; eesti; rahvakultuur; väljakutse; teema-aasta; jutukool; identiteet; lugemine
6,2,8,4,1,2,6,6,2,13,väärtushinnang; keskus; rahvapärimus; kreutzwald; rahvajutt; eesti; rahvakultuur; väljakutse; teema-aasta; jutukool; identiteet; lugemine
6,2,8,4,1,2,6,6,2,13,väärtushinnang; keskus; rahvapärimus; kreutzwald; rahvajutt; eesti; rahvakultuur; väljakutse; teema-aasta; jutukool; identiteet; lugemine
6,2,8,4,1,2,6,6,2,13,väärtushinnang; keskus; rahvapärimus; kreutzwald; rahvajutt; eesti; rahvakultuur; väljakutse; teema-aasta; jutukool; identiteet; lugemine
6,2,8,4,1,2,6,6,2,13,väärtushinnang; keskus; rahvapärimus; kreutzwald; rahvajutt; eesti; rahvakultuur; väljakutse; teema-aasta; jutukool; identiteet; lugemine
6,2,7,4,1,3,6,6,2,13,väärtushinnang; keskus; rahvapärimus; kreutzwald; rahvajutt; eesti; rahvakultuur; väljakutse; teema-aasta; jutukool; identiteet; lugemine
6,2,7,4,1,3,7,7,2,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
6,2,6,5,1,3,7,7,2,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
6,2,6,5,1,3,7,7,2,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
6,1,6,5,2,3,7,7,1,13,väärtushinnang; keskus; kreutzwald; teema-aasta; lugemine; rahvapärimus; eesti; rahvakultuur; väljakutse; jutukool; identiteet; rahvajutt
6,2,6,6,2,3,6,6,1,13,väärtushinnang; keskus; rahvapärimus; kreutzwald; rahvajutt; eesti; rahvakultuur; väljakutse; teema-aasta; jutukool; identiteet; lugemine
