EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,10,8,8,7,9,9,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,9,10,8,8,9,10,10,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,9,10,8,8,9,10,10,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,9,10,8,8,9,10,10,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,9,10,8,8,10,10,10,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,9,10,9,9,10,10,10,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,9,10,9,9,10,10,10,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,9,10,10,9,10,10,10,8,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
10,10,10,10,9,10,10,10,8,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
9,10,10,10,10,10,10,10,8,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
9,10,10,10,10,10,10,10,9,13,kreutzwald; väljakutse; teema-aasta; rahvapärimus; identiteet; lugemise; eesti; rahvakultuuri; rahvajutt; seminar
