EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,7,8,7,6,7,8,7,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
7,8,7,8,7,7,7,8,7,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
7,8,7,8,7,7,8,8,7,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
7,8,7,8,7,7,8,8,7,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
7,8,7,8,7,8,8,8,7,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
7,8,7,8,7,7,8,8,7,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
7,8,7,7,7,7,8,7,7,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino; kultuuriminister
6,7,8,7,6,8,8,7,7,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino; kultuuriminister
6,8,8,6,7,8,8,7,6,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino; kultuuriminister
6,7,8,7,7,8,8,7,7,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
5,6,8,7,8,8,8,7,8,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand; kultuuriminister
