EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,5,7,6,7,7,7,7,6,13,laimre; eesti; marco; elken; tsensuur; kunstiakadeemia; formaat; jaan; kunst; näitus
10,4,7,6,7,7,7,7,6,13,laimre; eesti; marco; elken; tsensuur; kunstiakadeemia; formaat; jaan; kunst; näitus
10,4,7,6,7,8,7,8,6,13,laimre; eesti; marco; elken; tsensuur; kunstiakadeemia; formaat; jaan; kunst; näitus
10,4,7,6,7,7,6,8,6,13,laimre; eesti; marco; elken; tsensuur; kunstiakadeemia; formaat; jaan; kunst; näitus
8,5,5,6,7,5,9,8,7,13,laimre; eesti; tsensuur; marco; elken; kunstiakadeemia; näitus; jaan; kunst; formaat
9,6,8,6,7,8,8,8,7,13,laimre; eesti; tsensuur; kunstiakadeemia; marco; elken; näitus; jaan; kunst; formaat
10,6,9,6,7,8,7,7,8,13,laimre; tsensuur; elken; kunst; näitus; formaat; eesti; marco; kunstiakadeemia; jaan
7,5,10,7,8,8,6,8,8,13,laimre; eesti; tsensuur; kunstiakadeemia; elken; näitus; marco; jaan; kunst; formaat
6,7,6,6,7,8,5,7,9,13,laimre; tsensuur; elken; kunst; formaat; näitus; eesti; marco; kunstiakadeemia; jaan
6,6,9,5,9,9,7,8,9,13,laimre; tsensuur; elken; kunst; näitus; formaat; eesti; marco; kunstiakadeemia; jaan
5,6,9,6,7,9,5,6,9,13,laimre; tsensuur; elken; kunst; näitus; formaat; eesti; marco; kunstiakadeemia; jaan
