EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
12,12,12,12,12,12,12,12,12,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
