EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,2,2,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,2,3,2,2,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,2,3,2,2,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,2,3,2,2,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,2,2,2,2,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,2,2,2,2,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,2,2,2,2,4,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
3,2,1,3,2,3,2,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
3,3,2,0,2,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
3,1,1,0,3,3,3,1,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
3,1,2,0,1,3,3,1,0,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
