EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
3,4,4,5,4,5,6,5,0,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
