EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
men lei Worf;See mõjub ketserlikuna;näiteks indoeuroopa keeltega;keelele vähem ütleksin;ideo fooniliste komponentide;eestlane räägib eesti;Kui mõelda keele;tugevasti enda-Euroopa keeltele
kõnekeeles teatud muutused;Jaan Kaplinski Teie;Kui räägime internetist;Norbert viiner ilusti;body Ma ütleksin;Euroopa standard eesti;keel täislaensõnu indoeuroopa;sõnapaarid On Indo-Euroopas
maram tähendab puu;On Indo-Euroopas praktiliselt;keel mõtlemisest mõjutatud;üldmõisteks No eriti;integratsioon leia asendama;esemed eesti keeles;keelega ainuke Lääne-Euroopa;huvitav soome-ugri keeled
keeles sõna käed-jalad-käed-jalad;vajadust Kas kõnelda;valdavalt mitte-eestlaste suhtlemisvahendiks;isereguleeruv süsteem Ja;nii-öelda kõrgema abstraktsiooni;Soomes potentsiaal kuuluneks;esse eestikas kasutan;On Indo-Euroopas praktiliselt
sõnade kolm põhikäänet;võimalused Ja loogiliselt;tänane vestlus lõpetada;küberneetika isa Norbert;standard eesti keeles;vanas rahvalaulus Soomes;õigesti räägin eestlane;eriti tüüpiline Indo-Euroopa
küsis maris Johannes;näiteks Travidigi Minu;Eestis eriti võtta;keelefilosoof Benzo men;ainsus mitmus No;eksperiment toimub eesti;inglise keeles tegelikult;jaapani keelega korea
Travidigi Minu lemmiknäide;kuulnud Aga Minu;Aitäh Jaan Kaplinskile;pudi-padi Jah pudi-padi;nimetas standard Average;Indo-Euroopas surve keelele;kirjakeelt Johannes Aavik;praktiliselt puudub Indo-Euroopas
ainsus mitmus No;keelega ainuke Lääne-Euroopa;väljendite otsimisel mõelda;Kuidas arvate Sellega;juttu vaatame vastate;käinud keelemaastiku ideo;kutsunud Jaan Kaplinski;tahaks rääkida eesti
väitis kõnekeel inimesed;mõtet otsides Kuidas;Euroopa keeltes kauntserling;Aga küsimus Euroopa;kujutab kirjeldab annab;keel mõtlemisest mõjutatud;keeltega stuudiosse kutsunud;keelega korea keelega
võimalik See mõjub;võetilised Oki linn;prantsuse hispaania itaalia;poeetiliselt olegi Et;probleem osata kirjutada;eurooplased kasutame ladina;keelefilosoof Benzo men;enamasti Kuigi Põhja-Siberis
kujundlikuks metafoolseks Osa;nii-öelda keele tüpoloogiliselt;Indo-Euroopa surve No;vene laenu koored;muutused Näiteks viite;nimetatakse kajasõnaks Igor;Eestis eriti võtta;kopsud-maksad üldmõisteid eesti
mainisite alaväärsustundes Et;Ja keeles ideofooneliselt;Igor võõraid inglise;ainsus mitmus No;kolm punkti näiteks;Traviidi keeles tahame;tahes-tahtmata keelt painutama;vastupidi Indo-Euroopa surve
suured metsa keskijad;Lacing tahab otse;probleem osata kirjutada;Pimedast pilvest vihane;isereguleeruv süsteem Ja;päeval vastupidi Indo-Euroopa;keelega korea keelega;Lõuna-Indias jaapani keelega
ainuke Lääne-Euroopa keel;Vaat ongi soome-ugri;Ma püüdnud keeleteadlase;tilin Colin sulin;näiteks eesti keeles;keelde tõlkimisel puudus;huvitav sõjabaski keelega;Indo-Euroopas surve keelele
küsimust lihtsalt julgem;võib-olla Aga ebamäärane;eesti sõna Sattusin;kao kusagile Tehku;arvate Sellega asi;praktiliselt puudub Indo-Euroopas;endastmõistetavalt Niiet eesti;Lääne-Euroopa keel sõnapaarid
