EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Property Markets Group;heliloojad Eesti kultuuriruumis;Festival Eesti muusika;Eesti muusikaelus tuuakse;kaks aspekti kodu;vestlust festivali Eesti;festivalile eesti muusikaelule;Eesti väljapaistvad heliloojad;väga-väga huvitavat muusikatoki
aasta vanuse Steinway;usun külastaja kontserte;toimetaja Nele-Eva Steinfeld;stuudios René Eespere;nimelt kommunikatiivne aspekt;Music Weeki Iga;käin pianisti kuulamas;Festival Eesti muusika;Elena ütles võib-olla
heliloojad tegelikult muusikalistest;kontseptsioon kõrvutused Tartu;Tere head raadiokuulajad;pinkerdani roll Putšiini;kava vaatan tekib;Tere head raadiokuulajad;Music Weeki küsimus;Tere head raadiokuulajad;21 juulil Leipzigis
ütleme klaverile kirjutatud;head raadiokuulajad Mina;küsida festivali korraldajad;loomingule keskenduvaid festivale;saavutada Sama asi;uudisekünnist võib-olla heliloojad;Eestisse heliloojalt Boot;Muusikauudised maailmast Muusikauudised;kontserdipaik publikule võib-olla
Sest tegemist ebapraktiliste;interpretatsiooni eeskujuks paljudele;esteetilistest filosoofilistes probleemidest;pühendatud suurvormidele tellitud;abstraktne idee tegelikult;toimetaja Nele-Eva Steinfeld;Jätkame vestlust festivali;Steinfeld nädala helikaja;kuus aastat Eestisse
põhjal arvama põhjal;noori muusikuid Ja;esitaja Möödunud pühapäeval;atraktiivne Seda tunnet;tekib uusi kontakte;elanud Islandi helilooja;kab toetab kuulajad;100 erineva helitöö;aega võtta Ja
eesmärk absoluutselt meeldi;näiteks Mustpeade maja;kuulda sisu vormi;festivale Seda korraldab;nii-öelda interpretatsioon sageli;viiuldajad loomulikult põnev;Steinfeld nädala helikaja;Saates arutlevad Eesti;toimetaja Nele-Eva Steinfeld
murret Gerretz-Traksmann meelt;diskussiooni teema keskendub;muusikateadlane Kerri Kotta;Jaan Räätsa Mõlemad;interpretatsiooni aspektist Et;inimeste söövad muusika;tippklassi kontsertklaverite park;muusika päevad 34;USAga Kesk-Euroopaga Skandinaaviaga
lihtsalt telliti muusikat;Markets Group Atlantic;kogufestival pühendatud suurvormidele;päevad toimusid esimest;Eino Tamberg ist;teemal stuudios Kerri;muusikuid kunstiinimesi toetata;René Eespere Festivalil;Muusikauudised 13 märtsil
traditsioone reegleid hästi;suurt institutsionaliseeritust Kogu;laval 2014 aasta;rahalisi toetusi kontserte;ens töötas permis;takistavad muusikuid ühist;helilooja mainstream keskmise;uudisteoste tellimine festivali;tundub üldse asjade
soovisid eriti atraktiivseks;Peaasi atraktiivne Seda;kontserti ühisettevõtmisena Tallinn;ülesehitus D materjalivõimet;asi tunne seoses;publik tahab kuulda;heliloojaid õppinud välismaal;Tänase heliga diskussiooni;laval soolorollides astunud
tuntud naljamehena öelnud;teame Eino Tambergi;siinsetel heliloojatelt Paulsoni;autorit neli autorit;kauaaegset esiflatisti Wolfgang;Cancheli muusikat aru;korraldajad rõhutasid sõnamänguline;Mina toimetaja Nele-Eva;paljudel Lääne-Euroopast pärit
kandub Kui mängijad;arvan õppima Eestisse;seekordne laureaat antenark;olulisi inimesi natukene;tegelikult ongi normaalne;pianisti kuulamas lauljad;arvan õppima Eestisse;sisemaise välisheliloojaga Küsisin;Indepredile võib-olla olulisem
maa loomulikult keskkond;aastate liikuvate kontsertiseeriatega;juhtivaid klaveritootjaid Steinway;tihti nii-öelda sein;vorme tegelikult vormide;kuulata Ta 70;stuudios Kerri Kotta;kontserdid esinejad Juttu;liit 10 aasta
D materjalivõimet muutuda;tahaks dominanti Minu;normaalne kultuuri toimimise;sümfooniaorkestri streik käesoleval;nihe märkan ausalt;kandideerida Ameerikale lauljad;kooridele jaga olemasolevatele;Helle Paas Sülgaja;situatsioonist maailmas toimub
