EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,6,5,1,7,6,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,2,6,5,1,7,7,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,6,5,1,7,7,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,7,5,2,8,7,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,3,7,5,3,8,6,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,4,6,5,5,6,7,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,4,5,5,5,4,6,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
6,3,6,6,6,5,6,7,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,2,3,5,6,5,6,6,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
5,2,3,5,7,4,6,5,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
4,4,3,6,7,4,5,5,0,13,peeter; hellat; arstiteadus; tartu; paanikapuhang; doktoritöö; balti; pidalitõbi
