EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,5,2,6,5,6,6,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
5,5,7,5,2,6,6,6,6,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
6,5,7,5,2,6,6,6,6,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
6,5,7,5,2,7,6,6,6,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
6,5,7,5,3,7,6,7,6,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
6,5,6,5,4,7,6,7,5,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
5,5,5,5,5,6,6,7,5,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
6,5,6,5,6,5,4,7,5,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
5,6,6,5,7,6,5,5,5,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
4,5,6,5,6,6,3,5,5,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
4,5,6,5,7,5,3,5,5,12,hiiemäe; ehmatamine; uskumus; reet; kaitsemaagia; tervisehäda; meditsiin
