EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,4,4,3,4,4,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,4,4,3,4,4,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,4,4,3,4,4,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,5,3,3,4,5,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,5,3,3,4,4,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,4,5,3,3,4,5,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
5,5,5,5,3,3,4,5,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,5,5,5,4,4,5,5,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,5,5,4,4,4,5,4,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,5,5,4,4,5,5,4,5,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,4,5,4,4,5,5,4,4,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
