keyphrase;score
eine istuti;0.8328
noorem noorem;0.8216
selge tekst;0.8189
vastama satun;0.8151
loosung marks;0.8098
nimi kompleksne;0.8095
On asi;0.8095
kontroll sõna;0.8093
funktsiooni CV'ga;0.8084
võrreldav funktsiooni;0.8077
aru dokument;0.807
kummaline asi;0.8065
vastab eri;0.8063
vahingul kodul;0.8049
arvutada maksis;0.8047
Et aus;0.8046
seoses meelde;0.8044
dokumentatsioon avaldab;0.8023
eriline roll;0.8022
dokument paingul;0.8016
noorem pannakse;0.8015
iseloomustamiseks hulk;0.7999
dimensioon arst;0.798
andsime 50;0.7978
inimene separaat;0.7976
komme identiteeditekst;0.7974
kodus distantsi;0.7972
inimesi näidata;0.7963
kirjutamisele kannatab;0.796
aku kontroll;0.7958
identiteet pidev;0.7957
marks vabastas;0.7949
pudelit eine;0.7946
antud hetkel;0.7944
tollal protest;0.7943
Et inimene;0.7942
normile haige;0.7942
vormi vormi;0.7939
See aeg;0.7935
aeg showl;0.7924
kindel hea;0.7924
kaovad eksale;0.7921
asi ainuke;0.7916
elama Unt;0.7913
tollal sündmus;0.7911
olulised Ja;0.7911
kell sisemine;0.791
hele särk;0.791
tavaliselt tekste;0.7908
kava osalt;0.7906
Noh stipp;0.7898
inimene aru;0.7898
taskust vile;0.7896
toimub ilus;0.7893
saavutada suuremat;0.7892
istuti maha;0.7889
vaatamas See;0.7886
Sellega seoses;0.7875
aeg muutume;0.7875
toime See;0.7873
supis aja;0.7873
protest mustvalge;0.7872
maha meetod;0.7869
aktsepteerida tunnistada;0.7864
iseasi sugugi;0.7863
visa vii;0.7862
-te algus;0.786
esimene asi;0.7856
kirjutas head;0.7856
eksju Ja;0.7854
asi Kui;0.7854
tead Lewis;0.7853
telefoniga ajal;0.7853
ütlen huvitav;0.7849
uut vorstilugu;0.7844
samm Ennem;0.7843
koju sealisem;0.7831
juttu vahingu;0.7831
Dollar samm;0.783
abi Siis;0.7825
Tootsi taskute;0.7824
surnud ikke;0.782
ehitama vain;0.7816
asja ehitama;0.7811
käitumises Et;0.7809
aega tahavad;0.7806
mõisted Aga;0.7805
terveks terveks;0.7802
korda kasutada;0.7798
vain rääkisin;0.7797
jamps Dollar;0.7795
nalja hull;0.7794
keeles Kui;0.779
Et aru;0.779
poes totram;0.7788
hirmu Seda;0.7787
kolme nelja;0.7784
paneb talad;0.7782
pilkenen Wraith;0.7774
asju Me;0.7765
No tore;0.7764
toimetatud vastused;0.7759
86 asi;0.7756
hirmus sümptomaatiline;0.7755
elulise anekdootlike;0.7754
uuesti anda;0.7752
salme Ja;0.7745
asju asi;0.7744
eramaja Nad;0.7744
natukene tunne;0.7743
situatsiooni Ja;0.7742
sorteerimisega Ta;0.7742
Aga homo;0.7741
aega vilega;0.7729
selgus inimlikud;0.7729
ema kardab;0.7729
ütled ütle;0.772
täpselt Seal;0.7719
lausumata andsime;0.7716
oligi spin;0.7715
gastronoomia astronoomia;0.7711
kviitungi No;0.7711
tahab psühhiaater;0.7711
Aga taskulamp;0.771
partorg tohib;0.7699
head aastat;0.7697
aus petate;0.7695
sallita ilus;0.7693
showl Špiinl;0.769
poiskop 1927;0.7689
tore Tartu;0.7685
Et tahad;0.7683
äkki selgus;0.7683
norm patoloogia;0.7674
peksab hobust;0.7674
laine vene;0.7673
tikku tõmbama;0.7673
pannud panna;0.7671
Nii aust;0.7668
temaatika tohi;0.766
inimesest inimese;0.7659
Normet Ma;0.7657
natuke melanhoolseks;0.7655
vaatama Ja;0.7655
patarei Antific;0.7654
anda naerdi;0.7653
-st aastast;0.7647
kardin kardina;0.7647
nojah Aga;0.7646
teene eesti;0.7645
huvitanud huvitanud;0.7645
paneb liiprid;0.7643
maksab maksab;0.7636
Mati Undi;0.762
Tooming hunt;0.7619
raudteejaamas kinni;0.7613
lugeda Keda;0.7613
tohi laulu;0.7612
son Mont;0.761
suu kinni;0.7601
ütelda See;0.76
labane jamps;0.7599
Vahing Vahing;0.7593
saun külm;0.7593
kordub kordub;0.7592
Me naerame;0.7589
trammiga Ja;0.7587
marksismi psühhoanalüüs;0.7582
rääkima Doktor;0.7571
lugu Ta;0.7566
loomingus Tal;0.7556
pandud Panso;0.7552
490 Tsitaat;0.7544
tabletid psühhoteraapiat;0.7544
esimest korda;0.7542
Panso Oidipuse;0.7539
Evald Hermaküla;0.7536
Claude Lewis;0.7534
1972 Me;0.7534
revolutsioon Ka;0.7532
Jah hea;0.7529
novelliks hiljem;0.7516
sõpetus Sa;0.751
aasta 71;0.7496
naerame niuke;0.7416
raha maha;0.7403
Ain Kaalep;0.7386
Ja Ma;0.7374
Feldman Feldmanis;0.7355
Psühhiaater Ta;0.735
Kangilaski On;0.734
Kadastiku Ja;0.7328
Tepandiga Sipid;0.7326
Špiinl Nov;0.7324
30 30;0.7303
Valtonit Salurit;0.7258
Kirjanike Liidu;0.7235
Siis Ain;0.7219
Tartu Ülikooli;0.719
Kangilaski Tšernov;0.6987
