EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;oskuse;kirikukalendrisse;kirikukalendrisse;;Pühakutepäeva;Pühakute;õnnistatud
Colomine;Meie;pühadelt;veatute;kodule;pühale;Pühakutepäeva;Johannes
üheskoos;jumalasünnitaja;kirikuks;eluväe;Need;pühakutepäeva;pühakute;Johannese
panifaatses;Kui;Efesose;erutingimustega;ustavust;pühadelt;Püha;võtame
Sostumus;Pühajõudmisega;;üheskoos;istub;õnnistatud;kirikukalendri;sajandil
Armeenias;;püha;Pühakute;usku;pühakute;pühadelt;sõnaga
rõõmustame;igavese;kristliku;täpsemalt;issand;Kristuse;Pühajõudmisega;Pühajõudmisega
germaanlaste;Gregorius;luterliku;misjoni;kuulub;kirikukalendrisse;õnnistatud;See
Pühakutepäeva;Ning;Pühakutepäeva;kristliku;tead;Pühakute;püha;Püha
Konstantinoopoli;Kristuse;Johannes;Hõisates;palvustel;luterliku;päevasõnaks;pühakute
