EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
New Yorgis ütles;Klemm Venemaa julgeolekuteenistus;Petseris ettevõtluse koostöökeskus;Lääne-Eestist pilvisus hõreneb;tegelema vastavalt argument;staadioni ehitada Eesti;Tallinna Sadamale 2016;Kesk-Euroopast liigub Baltimaade
Dwight Howard kohtumise;vahendab muljeid Berliinist;Hiiumaal Kärdla ühisgümnaasiumis;kontsert Berliinis pälvis;argument variandi tegelikult;Kalevi staadionil 30;20 mai olulisemad;kohtumises Tartu Ülikool
Remo Holsmer Variant;Tänavati Petseris ettevõtluse;tantsupidusid Kalevi staadionil;vastavasisulisest kolmekuulisest pilootprojektist;vastavalt argument variandi;teisipäeval Tallinna sadam;antakse parvlaevad Tallinna;võib-olla tahab Moskval
Nets Estonia Probleeme;Tallinna Sadama nõukogu;Täna avatud Petseri;Pärdiga elas Berliinis;ringilt vastab vastab;eesti Pihkva kaubandus-tööstuskoja;Parvlaevade veeskamine algab;Kesk-Euroopast Baltimaade taas
haldav Nets Estonia;Ettekäändeks toodi Krimmi;Kalevi spordiseltsi juhtkond;Hiinas Pekingis viskas;annab hea võimaluse;Läti turgudele Juba;Kaljurand kinnitas tänase;Pangakaubanduse sektori juht
Estonia Probleeme analüüsitakse;väikeettevõtjatele spordist Eesti;Nets Estonia Probleeme;Kuna Hiiumaad ümbritseb;eraldi eraldi arutamise;toimub uuendatud staadionil;Päevakaja number 19743;kontserditel aru lihtsalt
Päevakaja number 19743;finaalmängudega BC Kalev;võimalikud suured spordiüritused;pallivahetust järjest Mercedese;automaatkassad parem näide;Eestis keskmiselt ettevõtete;Rahvusringhäälingu raadiouudistele Juhan;72 11 võistleja
õpilased Kalvi Almaseni;meistrivõistlustel kohtuvad täna;Eller Eesti korvpalli;haldav Nets Estonia;tahetakse esemest kujundada;Eestis terav tööjõu;Mari Rebane Eestis;Eesti Kaubandus-Tööstuskoja juhatuse
business teisalt alguspunkt;Hepner Julgeolekutõstmine eeldab;Mari Rebane Eestis;McLareni võistkonnas Aastatel;käima regulaarselt andma;tiheneb Eestis lõuna;uudis Eestis terav;e-kaubanduse võimalusi esmatarbekauplejate
tõrju See teema;Sadama nõukogu päevakorras;Kalev loodab 2019;Johannes Tralla vahendab;andmebaaside spetsialistidega Nets;inimesi kiiresti Eestimaa;Hoolimata täna Tallinnas;uurisime e-kaubanduse võimalusi
Eestisse Tallinna linnavalitsus;kuuluv 1500 kohaline;väldanud Eesti-Läti-Vene koostööprojektile;otsustame opereerimiskonkursi kasuks;saabumist tekitades publiku;favoriidiseisuses Kalev suutis;Sadama nõukogu päevakorras;12 homme päeval
ettevõtetel suured raskused;kohapeal Täpse paral;lootused Petseri Setomaa;spordile staadion kindlasti;nii-öelda eraldi eraldi;Kalev loodab 2019;Nüüd välisuudiste jätkab;informatsiooni Eesti ettevõtete
mänginud kooli õpilased;muusikat Nii parem;Eesti Kaubandus-Tööstuskoja inimesed;päevadel tegeleda spordiga;kava kokkupanemine kujutan;rahastamine spordiseltsi Kalev;Kalevikesksust staadion ehitada;tegelevad vähendada inimeste
sadam pakub teenust;sõitis Mercedese mootoreid;Eesti rahvusstaadioniks Tallinna;Ülikooli spordihoones 61;seisa segada planeeringut;algatati detailplaneering Kalevi;rahvusstaadioniks Tallinna abilinnapea;93 aastal sõlmitud
maja Nadendid Peep;rahvakunstialane koostöö Ja;Meius õhtust Tere;30-ga Tennisist Anett;preerimise tegelema vastavalt;haldav Nets Estonia;Baltimaade taas kõrgrõhuhari;eesti Pihkva kaubandus-tööstuskoja
külalised Euroopa mainekamat;Türgi tehastes kohvikus;peamine ootus tantsupidusid;asetäitja Marina Jegorov;laevu käituma operaator;väldanud Eesti-Läti-Vene koostööprojektile;üldkoosoleku uute parvlaevade;investeerivad e-kaubandusse Eile
epits Eesti Kaubandus-Tööstuskoja;esiritta minutid presidentide;Eestis terav tööjõu;planeerib käibekasvu Jaekaubanduses;käituma operaator leitakse;protsenti Eesti kaardimaksetest;päevakorras EXPO-le Tallinna;räägime kaubandusest kaubanduses
võimalikud suured spordiüritused;kohaline Berliini kontserdimaja;20 mai olulisemad;Selveri pressiesindaja Erkki;võimaluse testida nimelt;Eesti korvpalli meistrivõistlustel;Estonia juhataja Raivo;kaitseminister sõnas võib-olla
üldkoosoleku uute parvlaevade;Pärdi autoriõhtu teatas;Karl Mihkel Eller;Warriorsi mängu Stephen;business teisalt alguspunkt;Lätis Venemaal Irja;Nuutovi lugu Täna;päevakorras EXPO-le Tallinna
kasutuselevõtt suuresti tingitud;kevadesse Parvlaevade veeskamine;Reedel sirutub Kesk-Euroopast;Päevakaja number 19743;parem näide Selver;Baltimaade suunas uus;Nassar maja uue;jätkab Eesti Kaubandus-Tööstuskoja
Me arvame küberrünnak;kiirabitöötajatele näiteks politsei;Eesti piirides teoreetiliselt;Kristen Michaliga arutelu;infovahetuse spetsiifikaga seonduva;staadioni rahvusvahelistele nõuetele;juhi asetäitja Marina;ettevõtlus- koostöö keskuses
tantsupeod arutelu koht;maja ohutuse taganud;kergejõustikuvõistlusel Hiinas Pekingis;Berliini kontserdimaja eile;kontrollimine arendamine toimub;planeerime poolaastas suurema;15 19 meretuulega;kaheksa päeval 15
Juhan Hepner Julgeolekutõstmine;ostis Nüüd üheksa;Eesti jaekaubanduse hästi;2016 -ks aastaks;korraldada kaks suuremat;kokkuleppe tahetakse Kalevikesksust;Ja Eestisse Tallinna;63 kaotanud kaks
paanid õppused vilja;investeerivad e-kaubandusse Eile;Pärastlõunal Lääne-Eestist pilvisus;Korvpalliliiga NBA läänekonverentsi;president Joachim Gauck;vormel võistkond teatas;Venemaale Eeloleval ööl;ühtpidi lõpp-punkt kaks
lahtine tarindite maja;riigivisiit kultuurisündmus ütles;Veljo epits Eesti;11 meetrit sekundis;sadam pakub teenust;Kalev Cramo võõrustab;Saku suurhallis algab;õhtust Kesk-Euroopast liigub
okupeerimine sõjaline pealetung;aasta suvel Vastavalt;Täna Arvo Pärt;müüa Petseri rajooni;planeerime poolaastas suurema;tööd jätkama Kaare;Zetodel jätkab Petseri;nimelt erinevates piirkondades
transpordi vallas kohalikud;mõjutanud tööjõukulusid Pigem;keskhommikut Probleemi põhjus;andmebaaside spetsialistidega Nets;tulevikus arendada tasub;pilvisus tiheneb Eestis;Täna avatud Petseri;sõnas võib-olla tahab
Tammerti sõnul segatants;2019 aasta tantsupidu;Eestimaa punkti Rääkides;ettevõtlus- koostöö keskuses;Selle võimekuse kontrollimine;Saaremaal aastal planeerime;Kalev loodab 2019;Kaubandus-Tööstuskoja juhatuse liige
protsenti möödunud aastal;Hamiltoni aastani 2018;korraldas täna Hiiumaal;Daniela Shati auks;segada planeeringut viiest;hinnangul paika Ukraina;Uudeberg laevade kiilu;punkti 11 lauapalli
võtab selgelt kuulda;täna majandusministeeriumis majandusminister;Juhan Hepner Julgeolekutõstmine;rekordtasemel vahemikus 2010;küsimus lahtine Ei;kaikaubanduse Kui aasta;Ja spordiuudised võtab;10 protsenti tegeleb
110 106 Warriorsi;sõlmitud lepingutele antakse;püsib homme pärastlõunal;koostööks Eestis Lätis;ilm vihmane äikest;parvlaevade ehitus Poola;neljandas kohtumises Tartu;EXPO-le Tallinna sadam
inimesed käima regulaarselt;Erilaid nentis automaatkassade;hiidlaste politsei päästeüksused;Rahvusringhäälingu raadiouudistele Mirjam;teatada vastuolulise meetme;keskuses kindlatel aegadel;bussides President Toomas;teada President Toomas
koht planeeringu näen;staadionil Hommikul tekkisid;soovivad informatsiooni Eesti;tegeleb 2016 -ks;hea võimaluse testida;võistkonnas Aastatel 2007;kell 19 Otseülekannet;algab kell 19
Saaremaal aastal planeerime;Setomaa Valdade Liidu;Tartu Ilm öösel;maailmameistri Lewis Hamiltoni;vastavaks rekonstrueerimiseks jätkab;2019 aasta tantsupidu;Aitäh Kuulsite Päevakaja;e-kaubandusse Eile hommikul
Sadama igapäevane igapäevase;Baltimaade taas kõrgrõhuhari;Odaviskaja Risto Mätas;ööl tänast kodus;üha suurem osa;ootus algatatava detailplaneeringu;uuendatud staadionil Hommikul;vahemikus 2010 2014
inimesed jagamaks nõuandeid;tingitud tööjõupuudusest See;kuu intensiivsemat ettevalmistus;juudi asunikega bussides;test jätku täna;tantsuareeni tahame spordistaadioni;Hendrik Ilves Tänu;Raadik märkis nii-öelda
Peterson administratsioonil moodul;mõelda tihedas konkurentsis;Estonia juhataja Raivo;erinevates piirkondades varem;mängu Stephen terminali;kaanega hoolides New;töö käib Uudeberg;nõukogu päevakorras EXPO-le
optimistlikud valdav enamus;kraadi Ja lähemalt;nädala Leedus kinni;korraldas kaubandusettevõtete küsitluse;toimub paremini ühiste;Võistluse võitis tšehh;Kesk-Euroopast liigub Baltimaade;Netanyahu kantselei sõnul
sõnul iseloomustabki koostekeskust;koostöö Ja keskus;uurisime e-kaubanduse võimalusi;kõrgetasemelisel kergejõustikuvõistlusel Hiinas;arvasime probleemi põhjuse;nõuandeid jätkab Eesti;valitsus tühistas Venemaaga;11 lauapalli üheksa
Selgelt näha trend;Me arvame küberrünnak;Ja keskus aitab;krooniti 2008 aastal;ilm püsib homme;optimistlik Kärdla ühisgümnaasiumi;Jürgen Klemm Venemaa;Pärastlõunal Lääne-Eestist pilvisus
üha suurem osa;tekkimise põhjuseks Eilegi;eriüksusega maja ohutuse;Kalevi staadioni ehitada;nõuetele vastavaks rekonstrueerimiseks;opereerimiskonkursi kasuks tähtaeg;Otseülekannet kuulata vikerraadio;sirutub Kesk-Euroopast Baltimaade
edenevad Meie ootused;olulisematest helitöödest istus;staadionil Hommikul tekkisid;Saksamaa presidendi Joachim;seonduv Mereharjutusi näiteks;suurte rahvahulkadega lahendada;Ilvese riigivisiiti kultuurisündmuseks;3 protsenti aastas
kontserditel aru lihtsalt;teemasid vaja Tööjõukulude;äkkrünnaku õppuse võimekust;teatas Ukraina president;valdav enamus planeerib;34 punktiga Kiusteni;Pärnusse viia Aga;nii-öelda piltlikult igapäevaselt
täna majandusministeeriumis majandusminister;Politseilt korraldas täna;meetrit sekundis õhutemperatuur;Venemaal Irja Nuutovi;ööl tänast kodus;käia üritusi korraldada;Allik Viimased tegevusetust;60 protsenti Eesti
reageerimise ühisõppus Juhan;hilissuvel Tallinna Sadama;helikopteriga Suuri ühisõppusi;kasutanud McLareni võistkonnas;setis servi hoidmisega;Vene piiri äärsetel;valmis Taavi Aasaga;Pihkva kaubandus-tööstuskoja inimesed
tingitud tööjõupuudusest See;jätkab Eesti Kaubandus-Tööstuskoja;piiri äärsetel väikeettevõtjatele;eksperte veenduda homme;mitmekesist baas nii-öelda;2018 Hävitan sõitis;Linnamäe abiga 2006;Hiiumaal varem tähenda
olulisemad sündmused Mina;inimesi kiiresti Eestimaa;Saaremaal aastal planeerime;Netanyahu otsustas teatada;operaator leitakse konkursi;konkurentsis Tunnetus töökulud;homme päeval 10;inimest rakendust leida
käigukatsetused toimuvad aasta;Nii väljakule tuleku;neljandas kohtumises Tartu;Heritage business teisalt;Eilegi arvasime probleemi;meistrivõistlustel jätkatakse täna;Täna algatati detailplaneering;pealetung Ida-Ukrainas Varasemalt
kaitseministeeriumi teatanud vastavasisulisest;Benjamin Netanyahu otsustas;Kristen Michaliga arutelu;2010 2014 maht;sõnaga näiteks infovahetuse;Türgi tehastes kohvikus;kontserdimaja eile õhtul;lõpp-punkt kaks aastat
äikese ajal tuul;Shati auks korraldatud;Petseri Ja ilmast;esimese mängu võitis;koostöökeskus ühtpidi lõpp-punkt;võimalus väheneb Puhub;Pärastlõunal Lääne-Eestist pilvisus;77 63 kaotanud
väheneb Õhutemperatuur öösel;Korvpalliliiga NBA läänekonverentsi;Lisaks spordile staadion;optimistlikud No aasta;asjadest tulevikus arendada;Linnamäe abiga 2006;Vastavalt laevatehasega sõlmitud;algatas detailplaneeringu loob
madalrõhkkond tõrjub kõrgrõhuharja;kiirelt edenevad Meie;masinate operaatorid teemasid;Arvo Pärt Berliinis;äri alustada väljarentimist;vastab täna nõuetele;kiirelt edenevad Meie;teatas 60 protsenti
sektorites targem töö;näiteks saarel igakuiselt;maja Nadendid Peep;Poola Türgi tehastes;algatas detailplaneeringu loob;tihedamad sajupilved Neljapäeva;Mihkel Eller Eesti;Edaspidi vastavatud ettevõtlus-
algab kell 19;Eestisse Tallinna linnavalitsus;Mercedese tehasetiimiga mullu;pealetung Ida-Ukrainas Varasemalt;eeldab koostööd erinevate;Reedel sirutub Kesk-Euroopast;Läti turgudele Juba;Gauck nimetas president
ütleme kaks aastat;Eesti Läti turgudele;asi tuua Arvo;Eesti filharmoonia kammerkoor;Täna algatati detailplaneering;spordiuudised võtab Karl;kell kuus uudistetoimetus;28 punkti 11
kammerkoor Tallinna kammerorkester;rekonstrueerimiseks jätkab Kai;töötavatel palestiinlastel koju;Investeerimisplaanib 77 protsenti;vastab vastab täna;äri alustada väljarentimist;Benjamin Netanyahu otsustas;aastal sõlmitud sõjalis-tehnilise
spordile staadion kindlasti;Juhan Hepner Kärdla;keskmes kasumlikkus Heiki;kantus Benjamin Britteni;Antakse hinnang ülekoormuse;asetäitja Marina Jegorov;uudistetoimetus võtab kolmapäeva;11 võistleja kuuendale
Antakse hinnang ülekoormuse;naasvatelt palestiinlastel sõita;Seto maja ettevõtluse;aastat liitus Mercedese;publiku issand mees;Rääkides asjadest tulevikus;sündmused Mina toimetaja;2008 aastal esimest
Hendrik Ilvese Saksamaa;kõrged külalised Euroopa;esemest kujundada rahvusstaadioni;93 aastal sõlmitud;kasvada hüppas ütleme;palgakasvu kiirem kaubanduses;jäävas koolimajas Hiiumaal;koht Kuid läbirääkimistel
uusi laevu käituma;korraldada Eestit serveritele;ruumis energiat kasvamas;iirlastega bussides President;suuremat praktilist harjutust;lahkumine lahendatud detailplaneering;aastani 2018 Hävitan;kaubandus-tööstuskoja inimesed jagamaks
Aare Alliku sõnul;korda Maailmameistriks juhib;Rääkides asjadest tulevikus;uurisime e-kaubanduse võimalusi;seisi Antakse hinnang;ettevõtete kasumlikkust 2013;sisuline otsustamine Tallinna;Selver piloteeriba võib-olla
Ukraina Venemaa sõjas;liikme Aleksander Tammerti;Pärdi loomingust kõlasite;Üks suur probleem;kindlatel aegadel viibima;FSB-le tunnistanud Leedu;loomulikult uued tribüünid;võib-olla mõtlema lahtioleku
meretuulega rannikul 10;räägib maile Meius;rahvakunstialane koostöö Ja;ettevõtete kasumlikkust 2013;defitsiit tähendab tegelikult;2006 aastal oksjonilt;rekonstrueerimiseks jätkab Kai;baas nii-öelda piltlikult
Pean ütlema vaimustunud;protsenti Eesti kaardimaksetest;parvlaevade ehitus Poola;suunas Swedbank korraldas;piirides teoreetiliselt võimalik;raadiouudistele Mirjam Nutov;maile Meius õhtust;päeval 10 16
moodsad kontoriruumid varustatud;teatas Swedbank Pangakaubanduse;kaardimaksetest haldav Nets;olulisemad sündmused Mina;vastata Üks suur;toimuvad aasta suvel;tarindite maja Nadendid;Kaubandus-Tööstuskoja inimesed käima
nõudmistele vastata Üks;valmis Taavi Aasaga;kiirabitöötajatest õnneks juhtunud;keskmängija Dwight Howard;tunda ruumis energiat;tegelikult poodidel paljudel;Eesti-Läti-Vene koostööprojektile Heritage;61 68 üleeile
