EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
mõisaomanik Concordia;Kas tõmblemine;kuulate Café;koolidesse raeKoeru;Need detaile;õhtul Tallinnas;Milleks mõisa;võib-olla tööta
akadeemilised programmid;arvan raha;Eesti kultuuripärandist;kolm korda;unistus ideaal;Norrasse kolimine;ütle Norrasse;mõelnud 10
kuidasmoodi Need;jäänud ausammas;huvi sauna;suuda loobuda;action minagi;Café eduvad;Ruth-Kaja Pekk;väga-väga tänulik
tähendab selge;Ja väga-väga;hinnata ekspluateerida;See küsimus;usute istute;maakonna kohtunud;Kas hommikuti;sobiv hulk
sõna areng;tervisejooksu ütleme;Ja külarahvas;Ameerika Ühendriikides;head laengut;nädalalõpu kahekesi;ratsabaasis Meil;võib-olla 10
juhtimine osa;lõunad Oh;näitus rahvusraamatukogus;annaks talvel;omavad vastavat;Linn suhteliselt;Eestis leidsime;Väga huvitav
elasin 10;töötab Advokaadina;inimesel kõht;armas kõigekülgselt;esitama asi;vaadake elasime;kodukoht Ja;kasvatamist arvates
muutuvad rusuhunnikuks;soe Ja;sisekujunduses ostnud;mugavus deta;kindlalt istun;toolil istunud;Ei tahaks;27 jaanuar
vanem vend;jaanuar kuulate;Küte köök;tõstma Selle;head head;oodata kaua;rääkisin rentsildendan;kooliharidust hindan
muuda elu;vallavalitsus sattus;27 juunil;avaldada No;vastata vastata;soovitanud võõrastega;Aga nostalgiaks;masinatega nii-öelda
kasvatanud tütre;hobusel Emotsionaalselt;Euroopas Ameerikas;kindlasti Merle;kodus Ja;suudad kodus;Ja kindlasti;AFP-d kukkumistest
problemaatilised kulgenud;mõisaomanikega lähemalt;kaart taskus;Concordia ülikooli;Et uus;külastada Nojah;välistada Helme;esiteks võimaldab
värskete mõisaomanikega;öelda Concordia;telliskive ehitamiseks;Helsing Inglite;Aga action;inimestega värskete;tutvume mehega;33 aastat
Olen vandeadvokaat;aitavad nõu;parkija ümbrus;üdini aus;annaks talvel;Kell neli;Becki tulevikunägemus;12 kuulate
paljud eraisikud;Amad arhitektuurilist;nimeks Helsing;Valgevenes Neste;No kindlasti;jaanuar kuulate;tütre intervjuud;laupäev 27
vanasti astuti;Et elama;teadmist aitab;langenud Me;võimalik võimalik;Tänan kuulamast;vestluskaaslaseks Pirgu;20 minutit
tihtipeale mõelnud;ellusuhtumisega Ja;Amad arhitektuurilist;Ülikooli rektor;vanem vend;Isetehtud majapidajanna;Kas vigioon;aitab tekitada
