EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,6,10,2,5,7,6,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
11,8,6,10,2,6,7,7,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,6,6,10,3,8,8,7,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,7,7,10,3,8,7,6,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,7,7,10,3,8,7,8,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,8,7,9,3,9,8,10,5,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
9,7,10,9,5,7,8,8,6,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
7,10,10,11,8,8,10,7,4,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
7,10,8,9,10,8,8,10,5,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
7,10,9,11,11,9,6,9,6,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
6,10,9,11,11,8,9,9,7,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
