EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,6,7,4,6,5,7,8,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,6,8,5,6,5,7,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,6,7,6,7,5,7,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,6,7,6,7,6,7,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,6,7,8,8,7,9,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,8,9,8,8,9,8,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,9,10,8,9,8,9,10,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
7,9,8,10,10,6,9,9,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
6,9,8,10,9,9,8,9,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
5,6,8,10,9,9,7,10,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
5,6,8,10,9,8,7,10,8,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
