EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,7,3,3,3,4,3,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
5,6,7,3,3,3,4,4,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
5,6,7,3,3,4,4,5,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
5,6,6,3,4,4,4,5,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
5,6,7,4,4,5,5,5,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
4,6,7,4,4,4,6,6,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
4,6,6,5,4,5,5,5,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
7,6,7,8,5,6,5,6,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
4,5,6,7,5,6,5,5,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
6,6,5,8,5,6,6,4,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
6,5,6,8,6,5,6,5,5,11,religioon; kunst; tehnoloogiline; püha; filosoofia; vaim; teadus; sekularism
