EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,7,6,2,7,7,9,6,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
10,11,7,6,2,8,7,9,6,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
10,10,7,6,2,8,7,10,6,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
9,10,7,7,3,8,10,10,6,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
11,10,8,7,3,10,9,11,6,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
11,11,9,8,3,8,11,12,6,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
10,11,8,10,6,9,10,10,7,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
11,9,8,11,5,11,10,10,7,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
10,9,11,10,8,8,8,9,10,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
10,10,11,9,7,9,7,8,9,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
9,11,11,10,11,10,6,5,9,13,homoseksuaal; urmas; viilm; luterlik; ordineerimine; abielu; konservatiivsus; kirikukogu; naine; poliitika; peapiiskop; kirik; kirikuelu
