EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,6,6,8,7,7,7,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,6,6,8,7,7,7,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,7,6,8,7,7,8,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,8,6,7,7,7,8,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,8,6,7,8,7,7,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,8,6,7,7,7,8,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,8,7,7,8,7,7,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,7,8,7,7,8,8,8,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
8,8,8,8,7,8,8,8,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; relv; mass; kasum
7,8,8,8,8,8,8,8,8,13,regulatsioon; idealism; mõjutamine; poliitika; internet; mass; kasum; relv
7,8,8,8,8,8,8,8,8,13,regulatsioon; mõjutamine; idealism; poliitika; internet; mass; kasum; relv
