EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,6,9,6,5,6,7,10,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,8,9,9,6,5,6,8,10,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,8,9,9,5,6,6,9,10,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,8,9,9,5,7,6,10,10,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,8,10,8,5,7,6,10,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,8,10,8,5,9,10,10,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,8,10,10,5,10,10,10,10,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,9,10,10,6,9,10,10,10,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,9,10,10,6,10,10,10,10,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,10,10,9,9,9,10,10,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
10,10,10,9,9,10,10,9,9,13,surmapate; loomupärane; hüpertroofia; mõõdukus; käegalöömine; kiusatus; kõrkus; enesehinnang; aegunud; tarbijalik
