EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,1,3,3,3,3,3,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
4,3,3,1,3,3,3,3,4,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
4,3,3,1,3,3,3,3,4,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
4,3,3,1,3,3,3,3,4,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
4,3,4,1,3,3,3,3,4,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
4,3,4,1,3,3,2,3,4,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
4,3,4,1,3,2,2,3,4,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
5,3,3,2,3,3,2,3,4,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
4,3,3,2,3,3,2,3,4,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
3,2,3,3,4,2,2,4,4,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
3,2,3,3,4,2,2,3,3,11,jakobson; kreutzwald; eesti; mulgi; raamat; inimene; rahvajutt
