EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
auk Brund dold;tähtsam vaimsus valitsema;viimane klass talvevaheaeg;meeleolu setupoiss tegelikult;kateeder noorem noorem;teene eesti kirjandus;Vanemuine dramaturg tollal;Ingo Normet kõnelema;tegelikult puna-valge üldse
dokument paink Nazca;elu Šbiil tähendama;eri aasta samamoodi;ajakirjanik Džbiin lõppema;noorem noorem panema;eesti kirjanik suur;dramaturg tollal nimi;kõnelema Ingo Normet;füsioloogia samastama inimene
Claude Lewis tross;sedamööda kirjutama Kirjanik;lõpetama Moskva teatrikool;üldse Saluri minek;komme identiteet tekst;rääkima lekkima Eesti;jutt näidend inimene;Peeter Tulviste Ingo;koolivaheaeg samamoodi pidevalt
pahing keskne mõiste;enam-vähem teadma erialateadvus;oluline kool õppima;juhataja Unt tutvustama;tekst toetama identiteet;vajakas eesti kirjandus;teater lavastaja pedagoog;Ingo Normet kool;käsitlema inimene teisiti
spiil Hermaküla Tooming;valima tahtma psühhiaater;talvevaheaeg viimane klass;jätma äärmiselt matšarlik;tekst võrreldav funktsioon;aasta Eesti vaimuelu;Ingo Normet teater;kool Peeter Tulviste;revolutsioon järgnema seksuaalne
õppima Nõmme gümnaasium;marksism käima kaasa;õppima 10 klass;uuesti Eesti käive;kurb hirm tekitav;saal käima Eesti;kuju tamine dramaturg;Peeter Tulviste mööp;kool õppima 10
muuseas Feldman Feldman;mõiste kasutama psühhoanalüük;aasta kool lõpetamine;10 klass talvevaheaeg;tekst hoidma identiteet;eesti kirjandus eriti;kangelane kõnelema Ingo;Peeter rääkima teema;parasjagu ümmargune tähtpäev
Nõmme gümnaasium Tallinn;kasutama asi suur;nägema igavene teater;küllalt raske tänapäev;noorem panema auk;eesti kirjandus kirjanik;otsene kõne dramaturg;käima Ingo Normet;enam-vähem teadma erialateadvus
Anatoli Jefros õpetaja;võtma kuulus lause;aeg viimane aasta;üldse rääkima lekkima;asi nimi kompleksne;kirjandus eesti kirjandus;tollal Vanemuine dramaturg;täpselt Ingo ütlema;naguniisugune võib-olla olulisem
kõrgem närvitalitus füsioloogia;kaks koolivaheaeg käima;talvevaheaeg Tallinn koolipoiss;külg Tartu üldse;aeg kodu distants;suur teene eesti;aru dramaturg näidend;tuttav Peeter Tulviste;psühholoog esimene psühholoogiaekspertiis
prantsuse loogiline Claude;tähendama sugugi ajastu;kool õppima 10;Draamateater testament täpselt;saavutama hea tulemus;raamat eesti keel;pealkiri näidend esietenduma;ütlema ütlema ütlema;raamatukogu võib-olla ajakiri
Brund dold Eesti;päev Tartu käima;õppima asuma kesklinn;suutma üldse dramaturgia;korduma aru dokument;ainuke eesti kirjanik;Mati Unt lavastus;kangelane kõnelema Ingo;revolutsioon psühhoanalüüs peksma
keel nägema mäng;toimuma asi kaheksakümnes;toimunu koolivaheaeg samamoodi;mitmetahulisemalt korraga näidend;aru dokument paink;tollal Eesti saatkond;väga-väga vana tuttav;Vanemuine dramaturg tollal;kauge peipsi-äärne külaelu
tegelikult mõra süsteem;koolivaheaeg käima päev;koolivaheaeg samamoodi pidevalt;Gorbatšovi-aegne kirjandus algama;distants vaatama kodu;tekst uuesti Eesti;Eesti vaimuelu memme;Ingo ütlema põhjus;kirjanik võib-olla võtma
