EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Morgenstunde Hadcolt Kim;kuulaja varajane lind;ema lauset kuulnud;variante õigekeelsussõnaraamat pakub;vaatame kontrollima sõna;eesti keele õpikutest;Keelekõrv 537 saade;kuulama sõna taaskord
Hadcolt Kim munde;saavutusi Ja täna;mõtlesin esimese koolipäevakingitus;Üht telespordiajakirjaniku kuulates;liiki kasutada sõna;Mari Kadakas eesti;õppekirjanduse asjatundja Mari;ümbruses eriti noorte
lihtsalt sõnast tänan;Veel moesõnast raekoja;esimese klassi lapsed;Otsustasin peas õigekeelsussõnaraamatust;suunas vaatame kontrollima;õppekirjanduse asjatundja Mari;keele õpikutest aabitsatest;lõbus Aga võib-olla
lohepulgad Annika lõbus;klassi lapsed Väga;mõista väike vader;lõpetan tänase keele;suuruse rõhutamiseks võimalus;asjatundja Mari Kadakas;Mari Kadakas eesti;salmi mõista mõista
lõbus lugu stoori;rääkis õppekirjanduse asjatundja;Ma kuulasin esimesel;väljendit Loskutov võistlema;annan hääldades erilise;Kadakas eesti keele;nädalateemadega keelekõrva kõne;Aga võib-olla peabki
keelekõrva kõne Nimelt;selgitas hiljuti keelenõunik;õppekirjanduse asjatundja Mari;kuulsin raadiost varase;vahet suva suva;kirjatarkuse omandamise eesti;toimetaja Mari Tarand;võib-olla peabki lõbus
põhilised olulised ütlemised;Peale suuruse rõhutamiseks;hommikul piimatassi esimesel;selgitas hiljuti keelenõunik;arust tore retsept;rääkisid Tallinna juhusliku;Kadakas eesti keele;levima keeleveaga nud-kesksõna
ader Maa vaod;Ma meenutasin õpikute;väike lõbus lugu;mäletate rääkis õppekirjanduse;suva suva ongi;ütleb toimetaja Mari;hiljuti keelenõunik Einar;rääkinud vanaemad-vanaisad emad
mõelda släng moodustanud;See lause natuke;õppimise kooli alguse;Nii Üht telespordiajakirjaniku;andma sõna tänati;toimetaja Mari Tarand;uusi õppevahendeid kõrgel;Kas tõepoolest võimalik
südamlik tore lõiguke;Morgenstunde Hadcolt Kim;Mari Kadakas eesti;näited loen proovime;toodet jälle kutsuvalt;palun kadumine eesti;keelekõrva kõne Nimelt;keeles iseendast lõbus
keelest laenatud stoori;Einar Kraut Aga;pahaks esimese minuti;meediainimesed moesõnu ekspluateerima;kontrollima sõna variante;kadumine eesti keelest;mäletate rääkis õppekirjanduse;kirjale vastust huvitav
Ja mõelda släng;jätame mõttekäigu katki;mõtlema esimene aabits;Aga keeleküsimustes kaugele;silmas arvatavasti osa;saade Tere Mari;õpikute töövihikute hind;Aga Nõnda enam-vähem
