EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Clive Lewis;Räägime religiooniteooriast;tundub jõuluajal;samane jumalik;number identsus;jõulujõulude kristlik;religioonis Kui;võib-olla jutt
Stat tihtipeale;jõulusõnum Tõepoolest;Räägime religiooniteooriast;bolševikud õigemini;Pluss null;puus sekulaarsesse;Usuteaduse instituut;prantsuse revolutsiooni
liikumine ütleme;Euroopa kultuur;kristlik sisu;On osutatud;andmeid protsente;aeg püha;Pühad räägivad;teisalt oluline
Tracitsionalism Saaditsionalism;ausõna huvitab;kiriku rollist;stuudiosse soovin;null miinus;ortodoks ortodoksi;ameeriklased usuvad;22 sajandil
Brown'i lood;Meid lõpmatu;saksa veebilehe;jõudsid Napolion;summa reaalne;kindlasti traditsioon;teoloogiadoktor Aarne;bolševikud õigemini
eriti aru;Võtame mõõdupuuks;Eestis näiteks;Kõigepealt sõna;See punkt;religioonifilosoof No;jõulusõnum Tõepoolest;inimteadvus nii-öelda
Neitsi Maarja;aeg-ajalt Et;mulje sekularism;võetakse esivanemate;Nii verb;kunstis teoloogias;olukorrast kiriku;kantud paratamatult
muuseumis Viru;Ja inimühiskonnas;jõulurahu Aga;veebilehe kolmapäeval;Need usu;rääkida kultuuriloolised;Jeesus 2000;Ja mõtlesin
kajastab selget;küllalt väikeajus;õhtul lugesin;viib bioloogilises;reaalselt reaalselt;usutunne kuulub;kristlus jõulupühad;asja tajub
õppinud tuntud;täpne Üldiselt;Jõuludest üritatud;Aadeeiske tähendab;aspekt tähendab;juudas mõjutatud;võtame Jeesust;USA Eesti
jõulupühi häid;üllatavad andmed;ortodoks inglise;võtame Jeesust;naq reaalselt;juure usaldan;Talga usutunne;aeg-ajalt ajaloos
matus kohtuvad;hajumine Ja;kolmapäeval nädalal;arenes ahelreaktsioonina;arvan andmed;püha vaimumasinatega;Eestis klassikaraadios;sõita no
See 50;väljume tsoonidesse;ühiskonda USA-s;aasta Kahjuks;asi tekitab;religioon tehnoloogiline;kiriku Inglismaalt;oluline küsimus
mõistuse mõistuse;religioossete asjade;asi külmis;jälle Eestis;moment tähendab;Enne ilmalikust;vaataksin panteistliku;kuju jumala
tähendab looma;Neid vaimseid;sakraalne Seda;korraldatakse arvan;asi Tracitsionalism;kiriku kirikusse;evangeeliumis ilusasti;USA-s küsitlus
vanaisade vana-vanaisade;Tähendab usu;Eestis klassikaraadios;Benedictus 16;valge energia;vaimu tavaliselt;traditsionalist kolmandaks;põletatud kindlasti
seoses jõululast;näitab jõulujõulude;teoloogias levinud;etappe Praegu;osade summa;ilus eestikeelne;võrdluseks püha;küllap paljud
kasutatud jumalat;samane Benedictus;suvel puhkuse;maanteele Piritale;punkte kinni;räägitud paradiisis;Meie loodud;Ja asja
Me elasime;käib jõuluajal;pühaduseiha annab;esimest korda;arusaamatu moment;aasta kujutaks;ortodoks inglise;sõna jumal
tajutud kõrgemat;usus hüppab;siga Austraaliast;Et paneb;inimene homo;sekularistlik tarbijaliku;Püha Vaimu;Püha Vaimu
sõitma Viru;kirjutab loodusnähtus;väljendusvorme viisil;teemal viimane;omav omav;kommunistlik religioon;Noh jumala;tegelikult tõeline
räägime natukene;religiooni tont;Talga usutunne;-ks Mihkel;asi Need;Aga jumal;USA Eesti;mõjutused ema
võimatu väljundites;Saaditsionalism põlvkondade;põhjustel psühholoogilised;USA ameeriklased;korraldatakse arvan;religioonidest Mesopotaamias;rollist Eestis;hästi teoloogia
terve terve;räägi mälu;no Julvernilikult;Jaan vaheaste;intuitiivne joon;räägivad Abrahamist;Jürile On;ortodoksi kiriku
aastat mõte;mõeldakse uuele;teoloogiadoktor Aarne;Egiptuse Babüloonia;kontakti anna;kultuurid erinevad;Jaagupist Moosest;asju 10
Kas kunstis;saamiseks Kusjuures;ühenduspunkte jõuluga;korda paremini;annab viisil;küsitakse igavene;jumalik taevane;vankrit muuseumis
inimkonnal kaks-kolm;elavad seitse-kaheksakümmend;Praegu uurime;füüsikuid jõukohaselt;esiteks asi;saates quo;nimelt teadususku;Et ongi
keisririik Kreeka;Jüri Arrak;eetiline masinat;küündimatu minevikust;andmed Kui;võimalus üleloomulikkus;Krootsijus tegelikult;väga-väga tähtis
paralleelid kohtuvad;tähendab hädaohtlik;kunstiinstituudi haridusse;Kui Eestis;andmed oska;Tracitsionalism Saaditsionalism;vaataja juudas;religioossete asjade
universumi vanus;jõululast esile;religioonist Ma;usuteaduse instituudis;ütleme inimene;progressiusk tegelikult;Siia põrgujutt;Ja ütleb
teadus ühinevad;erinevad Et;ööd Energiat;12 meest;reaalselt eneseteaduslik;Johannese evangeeliumis;arvan Euroopa;asja kuuluvad
number identsus;saba usu;usk usk;filosoofia Ja;usu nisugune;loomariigile tähendab;mitteusklikest 53;kaks-kolm 1000
ortodoksi kiriku;kurat loll;lehe keeramine;juttu Ja;nii-öelda intellektuaalne;perekondadega mõelda;Ja inimühiskonnas;artiklite kogumikus
kommenteerida mulje;orelikunstnikud õppimas;Fratzinger paavstiks;õde Magdaleena;usu Ega;Eestis küsitlus;indiaanlastest Kõik;asjad lõpuks
kohutavalt meeldima;kommuni bolševikud;materiaalne sfäär;Jaagupist Moosest;Et uus;iniminimkond õpib;sekulaarsesse sfääri;vaata No
