EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,1,1,3,3,4,1,15,pamuk; nobel; atatürk; kirjanduspreemia; türgi
2,2,3,1,1,3,3,4,1,15,pamuk; nobel; atatürk; kirjanduspreemia; türgi
2,2,3,1,1,3,3,4,1,15,pamuk; nobel; atatürk; kirjanduspreemia; türgi
2,2,3,1,1,3,3,4,1,15,pamuk; nobel; atatürk; kirjanduspreemia; türgi
2,2,3,1,1,3,3,4,1,15,pamuk; nobel; atatürk; kirjanduspreemia; türgi
2,2,3,1,1,3,3,4,1,15,pamuk; nobel; atatürk; kirjanduspreemia; türgi
4,2,3,1,1,4,3,4,2,15,pamuk; nobel; ehin; atatürk; andres; kirjanduspreemia; türgi
0,2,3,2,1,3,2,4,1,15,nobel; pamuk; atatürk; andres; kirjanduspreemia; türgi
0,2,5,2,1,3,3,4,1,15,seppel; keeleuuendusliikumine; nobel; pamuk; liis; atatürk; kirjanduspreemia; türgi
0,2,4,2,1,2,4,3,1,15,keeleuuendusliikumine; pamuk; nobel; kirjanduspreemia; türgi
0,2,4,2,2,3,3,3,1,15,keeleuuendusliikumine; pamuk; nobel; liis; kirjanduspreemia; türgi
