EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
7,6,10,6,0,9,11,8,4,12,kriska; kivi; tööriist; keraamika; savinõu; arheoloogiline; kaevamine; kiviaeg; kultuur; narva; aivar; päästekaevamine
