word;upos;ner tag;count;stopword
Aeva;PROPN;O;1;no
element;NOUN;O;1;no
kallil;ADJ;O;1;no
ilusal;ADJ;O;1;no
kuulajad;NOUN;O;2;no
eetris;NOUN;O;1;no
on;AUX;O;17;yes
kaks;NUM;O;1;no
sõrmurit;NOUN;O;1;no
.;PUNCT;O;20;no
Eerik;PROPN;O;1;no
ja;CCONJ;O;13;yes
Mart;PROPN;O;1;no
kuues;ADJ;O;1;no
detsember;NOUN;O;1;no
aastal;NOUN;O;1;no
2007;NUM;O;1;no
ning;CCONJ;O;1;yes
rahvusringhäälingu;NOUN;O;1;no
noorteraadio;NOUN;O;1;no
Raadio;PROPN;O;1;no
kahe;NUM;O;1;no
hommikuprogramm;NOUN;O;1;no
hakkab;VERB;O;2;yes
tänaseks;ADJ;O;1;no
läbi;ADV;O;2;yes
saama;VERB;O;1;yes
saab;VERB;O;1;yes
seeläbi;ADV;O;1;no
oma;PRON;O;1;yes
tavapärases;ADJ;O;1;no
keemilises;ADJ;O;1;no
vormis;NOUN;O;1;no
nimelt;ADV;O;1;no
Mendelejevi;PROPN;O;1;no
tabelit;NOUN;O;2;no
lammutades;VERB;O;1;no
miks;ADV;O;1;yes
me;PRON;O;2;yes
seda;DET;O;2;yes
rubriiki;NOUN;O;1;no
teeme;VERB;O;1;yes
?;PUNCT;O;2;no
seepärast;ADV;O;1;yes
,;PUNCT;O;29;no
et;SCONJ;O;7;yes
harida;VERB;O;1;no
ennast;PRON;O;1;yes
nii;ADV;O;2;yes
seest;ADV;O;1;yes
kui;SCONJ;O;4;yes
väljast;NOUN;O;1;yes
püüda;VERB;O;1;no
pugeda;VERB;O;1;no
ka;ADV;O;3;yes
kuulajate;NOUN;O;1;no
hinge;NOUN;O;1;no
oleme;AUX;O;2;yes
ausad;ADJ;O;1;no
lanta;NOUN;O;1;no
noididest;NOUN;O;1;no
ei;AUX;O;2;yes
teadnud;VERB;O;1;no
meie;PRON;O;2;yes
enne;ADV;O;1;yes
mitte;ADV;O;1;yes
tuhkagi;NOUN;O;1;no
just;ADV;O;3;yes
jaa;INTJ;O;1;no
saate;NOUN;O;1;yes
parim;ADJ;O;1;no
väljund;NOUN;O;1;no
võiks;AUX;O;1;yes
olla;AUX;O;1;yes
siis;ADV;O;7;yes
emotsionaalne;ADJ;O;1;no
tihe;ADJ;O;1;no
kontakt;NOUN;O;1;no
tugev;ADJ;O;2;no
tunne;NOUN;O;1;no
lantanoid;NOUN;O;2;no
ide;NOUN;O;1;no
suhtes;ADP;O;1;yes
eile;ADV;O;1;no
oli;AUX;O;1;yes
meil;PRON;O;1;yes
kõneks;NOUN;O;1;no
braseodüüm;NOUN;O;1;no
täna;ADV;O;1;no
tema;PRON;O;2;yes
malbe;ADJ;O;1;no
kaksikvend;NOUN;O;1;no
neodüüm;NOUN;O;5;no
joo;VERB;O;1;no
tüümi;NOUN;O;1;no
kas;ADV;O;1;yes
ongi;AUX;O;1;no
need;DET;O;2;yes
kohal;ADV;O;1;yes
number;NOUN;O;1;no
60;NUM;O;1;no
mega;NOUN;O;1;no
ehk;CCONJ;O;1;yes
praktiliselt;ADV;O;1;no
pool;NUM;O;1;yes
juba;ADV;O;1;yes
käinud;VERB;O;1;no
Neodüüm;PROPN;O;1;no
tähis;NOUN;O;1;no
N-d;PROPN;O;1;no
nagu;SCONJ;O;4;yes
sander;NOUN;O;1;no
taanlane;NOUN;O;1;no
kommenteeriks;VERB;O;1;no
seda;PRON;O;4;yes
võrdlust;NOUN;O;1;no
otseselt;ADV;O;1;no
veotiim;NOUN;O;1;no
kõik;DET;O;2;yes
teisedki;DET;O;1;no
haruldane;ADJ;O;1;no
muldmetall;NOUN;O;1;no
selline;DET;O;2;yes
