EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,5,4,6,6,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,3,4,5,4,6,6,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,3,5,5,4,6,6,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,3,6,5,4,6,6,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
4,3,6,5,4,7,4,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,3,7,4,5,7,6,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,4,5,4,5,6,6,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,5,6,5,6,5,4,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,4,6,5,6,5,5,5,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,4,6,4,6,5,5,4,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
7,4,6,5,5,5,5,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
