EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,6,7,4,4,4,6,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,4,6,7,4,4,4,6,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,4,7,7,4,4,4,6,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,3,7,7,4,4,4,7,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,3,7,7,6,4,4,7,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,4,6,7,6,5,4,7,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,4,7,7,6,6,4,6,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
6,4,7,7,6,6,6,7,5,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,5,6,7,7,5,5,7,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
6,6,5,7,7,4,5,7,7,12,regulatsioon; portaal; andmed; kristjan; port; seadus; euroopa
6,6,5,7,7,7,5,6,7,12,regulatsioon; portaal; andmed; kristjan; port; seadus; euroopa
